"name","regionid","income_less_than_10k_in_2014","income_10_to_15k_in_2014","income_15k_to_20k_in_2014","income_20k_to_25k_in_2014","income_25k_to_30k_in_2014","income_30k_to_35k_in_2014","income_35k_to_40k_in_2014","income_40k_to_45k_in_2014","income_45k_to_50k_in_2014","income_50k_to_60k_in_2014","income_60k_to_75k_in_2014","income_75k_to_100k_in_2014","income_100k_to_125k_in_2014","income_125k_to_150k_in_2014","income_150k_to_200k_in_2014","income_200k_plus_in_2014"
"Alameda",206428,136,199,180,134,154,159,135,168,120,266,447,985,859,776,934,1178
"Arbor Lodge",271060,361,157,275,178,395,234,146,370,303,445,727,611,630,219,327,171
"Ardenwald",272783,231,406,122,260,77,205,140,280,176,193,446,508,167,134,107,22
"Argay",271061,356,390,229,378,444,252,249,434,147,399,929,1039,738,326,205,172
"Boise",271065,870,594,285,304,312,290,227,335,205,318,531,795,398,310,400,171
"Brentwood-Darlington",276222,521,720,624,645,587,559,447,246,686,758,1361,1688,458,277,203,49
"Bridgeton",271067,25,17,57,20,49,39,24,19,13,92,80,89,55,15,20,5
"Bridlemile",206554,336,153,102,157,138,154,242,64,112,132,268,436,357,455,336,871
"Brooklyn",206562,422,217,372,191,394,48,135,232,258,230,406,741,449,114,187,37
"Buckman",271068,1135,493,684,763,609,678,459,402,434,698,791,987,736,126,110,260
"Cathedral Park",271070,1116,506,446,456,530,430,445,580,472,494,497,1145,534,284,277,126
"Centennial",271071,1464,1103,996,1083,964,916,855,877,721,1152,1494,1452,639,336,105,75
"Center",271072,608,227,451,379,407,349,501,412,368,516,904,871,891,369,597,890
"Central Beaverton",273187,760,758,629,707,589,927,701,691,624,673,533,846,335,217,126,43
"Concordia",271076,373,164,104,192,210,259,458,247,416,716,865,1062,992,628,623,284
"Corbett-Terwilliger-Lair Hill",273346,703,166,149,123,290,504,165,418,419,693,668,1184,956,589,629,869
"Creston-Kenilworth",273402,851,251,442,393,697,307,388,410,248,475,860,800,419,159,234,103
"Cully",271079,1062,1030,822,671,761,796,788,782,388,1074,1659,1706,1121,861,773,614
"Denny Whitford",276294,52,126,83,125,63,69,92,75,3,142,210,91,46,38,100,47
"Downtown",271082,2969,1609,733,946,936,533,359,296,268,899,906,951,736,345,250,298
"Eastmoreland",206780,133,90,70,131,47,72,125,102,19,288,293,540,458,350,401,826
"Eliot",271085,562,263,318,155,157,44,100,209,160,299,227,401,289,182,69,86
"Far Southwest",271087,385,271,670,329,474,531,393,379,383,764,1334,1871,1617,858,1377,1680
"Five Oaks",271089,310,205,269,203,272,369,496,273,296,760,714,1292,628,258,487,364
"Forest Park",271090,226,102,201,257,109,181,51,197,110,511,488,844,896,655,934,2492
"Foster Powell",344054,613,407,145,227,320,287,329,464,257,517,912,854,315,176,159,62
"Government Island",273856,6,4,5,0,11,5,0,28,16,53,33,85,23,14,8,6
"Greenway",273899,631,260,106,303,222,366,414,162,151,195,577,590,400,196,123,52
"Haden Island",273912,47,57,97,81,32,9,24,33,42,38,60,67,33,0,12,15
"Hayhurst",271098,258,171,105,213,290,110,214,192,183,376,523,672,460,429,366,219
"Hazelwood",206971,1297,1380,1392,1245,1017,1136,1211,830,951,1618,1574,1963,983,580,290,231
"Hector Campbell",273955,59,21,148,155,46,100,227,209,104,61,390,271,125,53,212,36
"Highlands",274008,317,197,214,425,216,316,115,255,236,328,834,735,352,492,324,168
"Hillsdale",206987,411,207,324,119,313,384,236,264,262,300,552,800,663,567,699,1005
"Historic Milwaukie",274035,85,27,30,61,81,48,106,79,65,127,210,194,74,25,55,29
"Homestead",274053,252,15,163,34,311,139,347,89,48,87,273,515,283,166,279,463
"Hosford",274059,429,319,381,192,467,218,348,280,294,412,771,721,705,650,343,625
"Irvington",207031,660,460,473,471,435,319,368,528,281,810,754,978,590,408,489,667
"Island Station",274111,104,54,52,47,72,71,71,51,55,86,81,144,57,77,15,4
"Kenton",207061,585,333,378,173,521,359,329,181,359,668,507,955,564,391,222,51
"Kerns",271104,408,429,263,332,542,474,384,303,253,395,375,513,409,247,217,106
"King",271105,835,576,423,255,490,497,604,482,394,811,1228,1602,1241,546,860,762
"Lake Road",274239,100,77,84,97,172,67,122,40,62,230,314,281,249,119,46,41
