"name","regionid","white_pop_2000","white_pop_2010","black_pop_2000","black_pop_2010","amerindian_alaskan_pop_2000","amerindian_alaskan_pop_2010","asian_pop_2000","asian_pop_2010","hawaiian_pacific_islander_pop_2000","hawaiian_pacific_islander_pop_2010","other_pop_2000","other_pop_2010","two_or_more_race_2000","two_or_more_race_2010"
"Alameda",206428,15101,15525,593,419,48,56,321,441,7,16,113,113,452,610
"Arbor Lodge",271060,9611,10039,1104,777,162,125,658,594,90,134,434,380,663,746
"Ardenwald",272783,7186,6852,99,164,83,86,109,133,7,20,77,151,272,321
"Argay",271061,13638,12030,1120,1903,106,231,1562,1908,129,246,836,1343,676,801
"Boise",271065,5035,8385,5703,3402,209,194,352,367,151,63,906,535,834,826
"Brentwood-Darlington",276222,17992,18588,303,926,355,337,1634,2670,56,73,1258,1790,1243,1398
"Bridgeton",271067,964,1040,143,216,16,16,72,121,5,13,36,97,51,69
"Bridlemile",206554,8874,8805,123,112,39,60,259,320,11,19,240,65,245,326
"Brooklyn",206562,7437,7620,277,434,131,72,436,394,27,15,215,139,359,450
"Buckman",271068,13550,15082,703,437,260,187,451,449,15,17,433,266,614,720
"Cathedral Park",271070,12571,13981,1233,1226,350,348,924,555,92,193,1239,1377,1072,1016
"Centennial",271071,29512,28498,760,2172,338,468,2280,3468,93,293,2260,3981,1593,2081
"Center",271072,15510,16331,427,653,136,165,765,767,25,16,275,308,537,769
"Central Beaverton",273187,14510,14024,453,807,192,239,1448,1291,80,90,2929,4453,853,980
"Concordia",271076,11210,13682,5209,3018,168,157,618,547,141,81,420,426,1130,948
"Corbett-Terwilliger-Lair Hill",273346,8955,11557,178,175,43,76,395,793,16,29,101,174,310,513
"Creston-Kenilworth",273402,11709,11758,474,613,180,153,1452,1206,97,68,435,425,734,718
"Cully",271079,25444,24956,3288,4809,499,617,2703,2145,169,148,3669,3559,1685,1915
"Denny Whitford",276294,2225,2645,38,48,16,16,65,89,13,18,54,174,101,115
"Downtown",271082,13063,17739,986,1012,210,288,1824,2446,40,67,363,394,739,1005
"Eastmoreland",206780,9862,9667,40,54,44,37,308,325,19,13,83,61,197,307
"Eliot",271085,3178,4855,2112,1389,92,84,85,154,34,13,198,159,451,357
"Far Southwest",271087,27541,28146,531,901,126,177,1220,1580,151,98,428,421,1111,1333
"Five Oaks",271089,9402,10927,326,805,60,101,3653,4668,34,32,498,954,545,792
"Forest Park",271090,12876,16597,93,214,40,40,720,1892,6,21,60,134,279,715
"Foster Powell",344054,11171,10591,265,507,137,181,2125,1947,46,234,363,572,709,724
"Government Island",273856,462,600,6,13,3,4,34,79,0,3,4,17,15,27
"Greenway",273899,9101,8484,270,343,67,95,636,678,47,76,484,1207,510,547
"Haden Island",273912,1105,1123,24,30,19,13,15,22,1,4,9,67,28,38
"Hayhurst",271098,9466,9538,127,154,69,40,336,378,13,4,164,110,256,390
"Hazelwood",206971,31074,31958,1303,3357,485,589,3358,4503,121,391,1893,3329,1741,2232
"Hector Campbell",273955,4878,4588,45,38,41,41,137,146,8,17,71,129,121,170
"Highlands",274008,11657,10714,216,285,78,88,820,837,81,99,430,763,460,650
"Hillsdale",206987,13440,14030,199,250,78,75,579,627,17,31,188,137,415,608
"Historic Milwaukie",274035,2444,2492,28,28,19,42,45,66,6,8,47,43,83,91
"Homestead",274053,4924,4630,62,72,26,24,420,650,5,21,51,57,148,204
"Hosford",274059,12305,13428,304,172,149,119,1016,778,27,27,280,160,483,568
"Irvington",207031,13243,14620,2269,1093,119,111,459,527,19,28,242,261,657,595
"Island Station",274111,1926,1905,22,52,15,32,36,47,6,3,32,50,76,62
"Kenton",207061,9262,10470,2109,2071,298,235,825,744,153,274,849,1016,1030,1172
"Kerns",271104,8093,8855,498,226,129,102,329,254,16,22,240,143,466,415
"King",271105,12686,18935,10916,5856,382,251,429,586,304,68,1608,979,1767,1541
"Lake Road",274239,4357,4550,27,43,27,70,99,131,11,22,73,86,171,124
"Lents",207108,27652,26061,651,1912,473,530,3220,5700,145,265,2290,3467,1774,1987
"Lewelling",274295,6675,6322,46,75,89,145,246,154,16,9,68,153,161,241
"Linnton",207125,1361,1478,18,13,19,17,40,86,7,2,24,22,35,44
"Linwood",274327,7353,6750,67,71,81,80,186,225,33,22,211,397,194,304
"Lloyd",274337,2999,4158,507,463,65,67,109,166,6,13,97,115,180,211
"Madison South",271108,8624,8674,548,994,94,175,2357,1518,25,86,474,450,569,768
"Maplewood-Ashcreek",274417,28009,29238,633,801,248,182,969,1144,93,140,692,520,1004,1461
"McLoughlin Industrial",274478,1086,981,12,13,10,10,17,29,1,4,22,8,33,38
"Mill Park",271111,11212,12356,372,1378,139,199,1208,1845,33,105,662,1557,508,884
"Milwaukie Business-Industry",274545,1562,1631,10,18,6,17,51,56,8,4,18,27,50,53
"Montavilla",207230,24537,23119,1052,1705,316,438,3758,4097,158,215,1141,1304,1446,1699
"Mount Scott",274604,11705,11779,298,285,161,181,1128,1358,81,23,399,582,812,729
"Mount Tabor",274605,17072,17439,297,269,99,98,1421,1074,58,58,257,257,564,740
"Neighbors Southwest",274653,10119,14284,288,464,81,80,1418,2278,61,59,202,414,523,935
"Northwest",274797,30054,34872,931,808,387,298,1464,2096,66,74,493,637,929,1646
"Old Town-Chinatown",274898,3396,4927,458,659,141,148,99,208,13,21,142,109,169,314
"Overlook",271119,9044,10158,1492,936,183,120,558,519,86,89,631,309,679,646
"Parkrose",207340,18415,16698,1040,2030,275,310,2401,2628,103,314,770,1649,958,1195
"Pearl District",271122,2868,9036,218,468,102,115,115,709,8,26,73,132,132,413
"Pleasant Valley",275055,14625,18899,256,1047,154,195,1376,3734,41,134,285,902,502,1087
"Portsmith",275080,9423,10414,2582,3463,352,368,1156,711,121,301,1611,2215,1072,1341
"Powellhurst",207384,28389,30328,976,3462,407,687,3266,6874,106,616,1745,4292,1618,2445
"Raleigh West",275125,3654,3745,55,66,33,20,164,164,10,30,125,211,133,178
"Reed",344057,6371,6904,177,221,70,66,468,502,7,13,147,107,289,392
"Richmond",276532,29884,31374,524,435,302,186,1991,1632,39,28,607,491,1068,1447
"Roseway",271127,33423,34232,1296,1517,312,284,2982,2733,137,78,457,635,1278,1616
"Ross Island",275256,247,296,4,1,1,0,12,4,2,0,4,4,10,6
"Saintjohns",275553,9221,9190,1480,1867,283,341,753,888,94,166,904,1957,893,1116
"Sellwood-Moreland",275327,17749,19109,304,214,167,172,603,642,42,33,176,275,648,863
"Sexton Mountain",271131,13515,15850,182,332,44,42,2180,3143,46,40,174,414,536,928
"South Beaverton",275412,14290,13840,177,212,66,43,1370,1297,20,126,182,467,562,777
"South Tabor",344059,10354,10062,284,325,95,109,1817,1658,57,51,313,310,443,546
"Southwest Hills",271136,10039,10403,103,165,46,55,351,551,21,17,67,91,231,384
"Sunderland",271139,1417,1383,312,353,57,53,32,54,3,10,155,78,78,36
"Triple Creek",271142,9248,9228,253,308,88,110,1310,1675,77,89,373,1106,421,571
"University Park",207639,7325,8129,194,225,79,106,365,290,70,95,214,292,333,603
"Vose",275899,11550,11257,231,390,171,163,635,651,45,73,1841,2938,651,767
"West Beaverton",271146,13996,13836,363,512,126,142,1897,1874,64,84,902,1833,665,848
"West Slope",275992,3318,3544,34,80,16,30,134,138,2,4,60,49,102,116
"Wilkes",271150,15790,15431,898,2438,187,300,1617,2226,55,229,1380,2289,799,1094
"Woodlawn",271152,10492,14210,8367,5692,253,240,732,560,161,177,1328,1261,1419,1525
"Woodstock",207740,14755,15512,199,173,182,158,1068,1090,12,29,222,191,537,712
