"name","regionid","total_pop"
"Alameda",206428,16635
"Arbor Lodge",271060,12722
"Ardenwald",272783,7833
"Argay",271061,18069
"Boise",271065,13190
"Brentwood-Darlington",276222,22842
"Bridgeton",271067,1286
"Bridlemile",206554,9791
"Brooklyn",206562,8880
"Buckman",271068,16026
"Cathedral Park",271070,17481
"Centennial",271071,36835
"Center",271072,17673
"Central Beaverton",273187,20465
"Concordia",271076,18896
"Corbett-Terwilliger-Lair Hill",273346,9998
"Creston-Kenilworth",273402,15081
"Cully",271079,37457
"Denny Whitford",276294,2513
"Downtown",271082,17225
"Eastmoreland",206780,10554
"Eliot",271085,6152
"Far Southwest",271087,31107
"Five Oaks",271089,14518
"Forest Park",271090,14075
"Foster Powell",344054,14816
"Government Island",273856,523
"Greenway",273899,11115
"Haden Island",273912,1201
"Hayhurst",271098,10431
"Hazelwood",206971,39975
"Hector Campbell",273955,5300
"Highlands",274008,13743
"Hillsdale",206987,14916
"Historic Milwaukie",274035,2672
"Homestead",274053,5636
"Hosford",274059,14564
"Irvington",207031,17007
"Island Station",274111,2113
"Kenton",207061,14526
"Kerns",271104,9771
"King",271105,28093
"Lake Road",274239,4765
"Lents",207108,36205
"Lewelling",274295,7302
"Linnton",207125,1504
"Linwood",274327,8124
"Lloyd",274337,3963
"Madison South",271108,12690
"Maplewood-Ashcreek",274417,31649
"McLoughlin Industrial",274478,1181
"Mill Park",271111,14135
"Milwaukie Business-Industry",274545,1704
"Montavilla",207230,32409
"Mount Scott",274604,14583
"Mount Tabor",274605,19768
"Neighbors Southwest",274653,12691
"Northwest",274797,34323
"Old Town-Chinatown",274898,4418
"Overlook",271119,12672
"Parkrose",207340,23962
"Pearl District",271122,3518
"Pleasant Valley",275055,17240
"Portsmith",275080,16318
"Powellhurst",207384,36506
"Raleigh West",275125,4176
"Reed",344057,7529
"Richmond",276532,34416
"Roseway",271127,39886
"Ross Island",275256,280
"Saintjohns",275553,13628
"Sellwood-Moreland",275327,19690
"Sexton Mountain",271131,16676
"South Beaverton",275412,16668
"South Tabor",344059,13363
"Southwest Hills",271136,10858
"Sunderland",271139,2054
"Triple Creek",271142,11771
"University Park",207639,8579
"Vose",275899,15125
"West Beaverton",271146,18014
"West Slope",275992,3666
"Wilkes",271150,20727
"Woodlawn",271152,22752
"Woodstock",207740,16974
