name,regionid,year,major_offense_type,count
Alameda,206428,2004,Aggravated Assault,4
Alameda,206428,2004,Arson,
Alameda,206428,2004,"Assault, Simple",2
Alameda,206428,2004,Burglary,32
Alameda,206428,2004,Curfew,
Alameda,206428,2004,Disorderly Conduct,3
Alameda,206428,2004,Drugs,6
Alameda,206428,2004,DUII,3
Alameda,206428,2004,Embezzlement,1
Alameda,206428,2004,Forgery,14
Alameda,206428,2004,Fraud,15
Alameda,206428,2004,Gambling,
Alameda,206428,2004,Homicide,
Alameda,206428,2004,Kidnap,
Alameda,206428,2004,Larceny,182
Alameda,206428,2004,Liquor Laws,2
Alameda,206428,2004,Motor Vehicle Theft,13
Alameda,206428,2004,Offenses Against Family,
Alameda,206428,2004,Prostitution,
Alameda,206428,2004,Rape,
Alameda,206428,2004,Robbery,4
Alameda,206428,2004,Runaway,
Alameda,206428,2004,Sex Offenses,
Alameda,206428,2004,Stolen Property,
Alameda,206428,2004,Trespass,3
Alameda,206428,2004,Vandalism,45
Alameda,206428,2004,Weapons,1
Alameda,206428,2005,Aggravated Assault,10
Alameda,206428,2005,Arson,1
Alameda,206428,2005,"Assault, Simple",8
Alameda,206428,2005,Burglary,77
Alameda,206428,2005,Curfew,1
Alameda,206428,2005,Disorderly Conduct,19
Alameda,206428,2005,Drugs,11
Alameda,206428,2005,DUII,9
Alameda,206428,2005,Embezzlement,6
Alameda,206428,2005,Forgery,27
Alameda,206428,2005,Fraud,36
Alameda,206428,2005,Gambling,
Alameda,206428,2005,Homicide,
Alameda,206428,2005,Kidnap,
Alameda,206428,2005,Larceny,456
Alameda,206428,2005,Liquor Laws,6
Alameda,206428,2005,Motor Vehicle Theft,36
Alameda,206428,2005,Offenses Against Family,
Alameda,206428,2005,Prostitution,
Alameda,206428,2005,Rape,
Alameda,206428,2005,Robbery,10
Alameda,206428,2005,Runaway,
Alameda,206428,2005,Sex Offenses,2
Alameda,206428,2005,Stolen Property,
Alameda,206428,2005,Trespass,20
Alameda,206428,2005,Vandalism,101
Alameda,206428,2005,Weapons,3
Alameda,206428,2006,Aggravated Assault,6
Alameda,206428,2006,Arson,1
Alameda,206428,2006,"Assault, Simple",17
Alameda,206428,2006,Burglary,86
Alameda,206428,2006,Curfew,1
Alameda,206428,2006,Disorderly Conduct,16
Alameda,206428,2006,Drugs,8
Alameda,206428,2006,DUII,12
