name,regionid,year,violent,count
Alameda,206428,2004,f,288
Alameda,206428,2004,t,42
Alameda,206428,2005,f,734
Alameda,206428,2005,t,105
Alameda,206428,2006,f,609
Alameda,206428,2006,t,121
Alameda,206428,2007,f,476
Alameda,206428,2007,t,104
Alameda,206428,2008,f,482
Alameda,206428,2008,t,76
Alameda,206428,2009,f,426
Alameda,206428,2009,t,53
Alameda,206428,2010,f,422
Alameda,206428,2010,t,73
Alameda,206428,2011,f,412
Alameda,206428,2011,t,62
Alameda,206428,2012,f,378
Alameda,206428,2012,t,84
Alameda,206428,2013,f,502
Alameda,206428,2013,t,92
Alameda,206428,2014,f,365
Alameda,206428,2014,t,69
Arbor Lodge,271060,2004,f,177
Arbor Lodge,271060,2004,t,47
Arbor Lodge,271060,2005,f,886
Arbor Lodge,271060,2005,t,125
Arbor Lodge,271060,2006,f,889
Arbor Lodge,271060,2006,t,125
Arbor Lodge,271060,2007,f,920
Arbor Lodge,271060,2007,t,136
Arbor Lodge,271060,2008,f,869
Arbor Lodge,271060,2008,t,127
Arbor Lodge,271060,2009,f,781
Arbor Lodge,271060,2009,t,111
Arbor Lodge,271060,2010,f,529
Arbor Lodge,271060,2010,t,78
Arbor Lodge,271060,2011,f,609
Arbor Lodge,271060,2011,t,92
Arbor Lodge,271060,2012,f,640
Arbor Lodge,271060,2012,t,95
Arbor Lodge,271060,2013,f,615
Arbor Lodge,271060,2013,t,109
Arbor Lodge,271060,2014,f,610
Arbor Lodge,271060,2014,t,92
Ardenwald,272783,2004,f,
Ardenwald,272783,2004,t,
Ardenwald,272783,2005,f,1
Ardenwald,272783,2005,t,
Ardenwald,272783,2006,f,
Ardenwald,272783,2006,t,
Ardenwald,272783,2007,f,
Ardenwald,272783,2007,t,
Ardenwald,272783,2008,f,2
Ardenwald,272783,2008,t,
Ardenwald,272783,2009,f,1
Ardenwald,272783,2009,t,
Ardenwald,272783,2010,f,
Ardenwald,272783,2010,t,
Ardenwald,272783,2011,f,1
Ardenwald,272783,2011,t,
Ardenwald,272783,2012,f,2
Ardenwald,272783,2012,t,
Ardenwald,272783,2013,f,3
Ardenwald,272783,2013,t,
Ardenwald,272783,2014,f,
Ardenwald,272783,2014,t,1
Argay,271061,2004,f,167
Argay,271061,2004,t,38
Argay,271061,2005,f,672
Argay,271061,2005,t,177
Argay,271061,2006,f,608
Argay,271061,2006,t,124
Argay,271061,2007,f,657
Argay,271061,2007,t,121
Argay,271061,2008,f,587
Argay,271061,2008,t,117
Argay,271061,2009,f,471
Argay,271061,2009,t,97
Argay,271061,2010,f,501
Argay,271061,2010,t,102
Argay,271061,2011,f,465
Argay,271061,2011,t,120
Argay,271061,2012,f,389
Argay,271061,2012,t,102
Argay,271061,2013,f,397
Argay,271061,2013,t,82
Argay,271061,2014,f,480
Argay,271061,2014,t,116
Boise,271065,2004,f,268
Boise,271065,2004,t,100
Boise,271065,2005,f,832
Boise,271065,2005,t,242
Boise,271065,2006,f,845
Boise,271065,2006,t,252
Boise,271065,2007,f,804
Boise,271065,2007,t,263
Boise,271065,2008,f,736
Boise,271065,2008,t,216
Boise,271065,2009,f,509
Boise,271065,2009,t,167
Boise,271065,2010,f,597
Boise,271065,2010,t,141
Boise,271065,2011,f,621
Boise,271065,2011,t,156
Boise,271065,2012,f,840
Boise,271065,2012,t,119
Boise,271065,2013,f,604
Boise,271065,2013,t,120
Boise,271065,2014,f,703
Boise,271065,2014,t,170
Brentwood-Darlington,276222,2004,f,158
Brentwood-Darlington,276222,2004,t,44
Brentwood-Darlington,276222,2005,f,761
Brentwood-Darlington,276222,2005,t,173
Brentwood-Darlington,276222,2006,f,582
Brentwood-Darlington,276222,2006,t,197
Brentwood-Darlington,276222,2007,f,677
Brentwood-Darlington,276222,2007,t,186
Brentwood-Darlington,276222,2008,f,506
Brentwood-Darlington,276222,2008,t,150
Brentwood-Darlington,276222,2009,f,446
Brentwood-Darlington,276222,2009,t,137
Brentwood-Darlington,276222,2010,f,456
Brentwood-Darlington,276222,2010,t,140
Brentwood-Darlington,276222,2011,f,433
Brentwood-Darlington,276222,2011,t,144
Brentwood-Darlington,276222,2012,f,481
Brentwood-Darlington,276222,2012,t,130
Brentwood-Darlington,276222,2013,f,487
Brentwood-Darlington,276222,2013,t,150
Brentwood-Darlington,276222,2014,f,458
Brentwood-Darlington,276222,2014,t,135
Bridgeton,271067,2004,f,82
Bridgeton,271067,2004,t,15
Bridgeton,271067,2005,f,438
Bridgeton,271067,2005,t,107
Bridgeton,271067,2006,f,403
Bridgeton,271067,2006,t,101
Bridgeton,271067,2007,f,411
Bridgeton,271067,2007,t,78
Bridgeton,271067,2008,f,457
Bridgeton,271067,2008,t,72
Bridgeton,271067,2009,f,344
Bridgeton,271067,2009,t,57
Bridgeton,271067,2010,f,364
Bridgeton,271067,2010,t,60
Bridgeton,271067,2011,f,337
Bridgeton,271067,2011,t,46
Bridgeton,271067,2012,f,396
Bridgeton,271067,2012,t,58
Bridgeton,271067,2013,f,418
Bridgeton,271067,2013,t,53
Bridgeton,271067,2014,f,582
Bridgeton,271067,2014,t,72
Bridlemile,206554,2004,f,31
Bridlemile,206554,2004,t,5
Bridlemile,206554,2005,f,164
Bridlemile,206554,2005,t,38
Bridlemile,206554,2006,f,100
Bridlemile,206554,2006,t,31
Bridlemile,206554,2007,f,129
Bridlemile,206554,2007,t,18
Bridlemile,206554,2008,f,137
Bridlemile,206554,2008,t,28
Bridlemile,206554,2009,f,138
Bridlemile,206554,2009,t,23
Bridlemile,206554,2010,f,103
Bridlemile,206554,2010,t,21
Bridlemile,206554,2011,f,107
Bridlemile,206554,2011,t,19
Bridlemile,206554,2012,f,109
Bridlemile,206554,2012,t,46
Bridlemile,206554,2013,f,84
