regionid,year,no_highschool_diploma,highschool_and_ged_diploma,some_college,bachelors_degree,graduate_plus
206428,1990,4.28,13.00,31.70,29.82,21.20
206554,1990,6.06,9.29,28.24,33.03,23.38
206562,1990,25.83,35.58,30.56,5.92,2.11
206780,1990,5.36,18.66,28.11,28.53,19.34
206971,1990,17.98,32.74,33.16,12.15,3.98
206987,1990,6.68,14.71,33.79,28.47,16.34
207031,1990,7.86,16.93,34.16,26.29,14.76
207061,1990,30.09,31.65,30.89,5.21,2.17
207108,1990,27.11,37.64,28.59,4.91,1.76
207230,1990,22.96,27.58,36.61,9.71,3.14
207340,1990,18.25,32.54,34.64,10.00,4.56
207384,1990,30.14,31.25,27.22,8.86,2.53
207639,1990,15.34,31.39,36.23,9.43,7.60
207740,1990,20.01,33.36,28.08,14.97,3.57
271060,1990,24.02,31.35,31.84,7.90,4.88
271065,1990,29.60,26.47,32.58,8.93,2.43
271067,1990,16.00,38.37,27.39,5.90,12.34
271068,1990,13.28,18.10,38.18,21.35,9.09
271070,1990,31.24,33.31,28.34,5.67,1.44
271071,1990,17.43,38.91,34.20,7.32,2.15
271072,1990,18.22,28.15,32.63,14.28,6.72
271076,1990,15.16,29.73,35.27,13.44,6.40
271079,1990,17.81,29.54,36.07,8.92,7.66
271085,1990,5.44,22.52,32.23,18.06,21.75
271087,1990,3.04,12.79,29.17,33.88,21.12
271089,1990,17.12,29.78,34.68,15.97,2.45
271090,1990,2.93,6.02,23.80,31.45,35.81
271098,1990,9.91,15.50,31.49,28.67,14.43
271104,1990,18.88,27.20,30.65,18.40,4.87
271105,1990,28.21,27.73,32.05,8.07,3.93
271108,1990,14.47,29.63,34.62,16.51,4.77
271111,1990,21.00,33.97,34.00,8.85,2.18
271119,1990,27.73,31.89,28.17,8.75,3.46
271127,1990,13.83,25.38,35.93,16.70,8.16
271136,1990,4.66,3.12,25.97,39.45,26.81
271139,1990,0.00,48.15,20.37,0.00,31.48
271142,1990,8.48,17.68,44.92,21.74,7.17
271152,1990,23.57,30.79,32.40,8.77,4.46
273187,1990,17.10,29.76,34.68,15.99,2.48
273346,1990,10.86,16.65,35.47,25.54,11.48
273402,1990,21.03,34.84,28.40,11.62,4.11
273899,1990,4.86,16.52,42.25,26.63,9.74
273912,1990,20.01,34.24,29.38,9.97,6.40
274008,1990,5.89,18.28,37.22,25.72,12.89
274053,1990,1.88,7.48,25.51,45.96,19.17
274059,1990,15.32,20.63,32.04,19.95,12.05
274327,1990,14.92,31.51,41.53,9.01,3.03
274337,1990,3.51,29.69,36.70,15.23,14.88
274417,1990,7.08,17.67,35.31,26.16,13.78
274604,1990,26.10,34.96,30.56,5.96,2.42
274605,1990,15.12,21.24,31.70,19.22,12.72
274653,1990,4.84,14.13,32.48,38.53,10.02
274797,1990,4.36,7.92,22.52,32.06,33.13
275055,1990,8.32,23.56,42.41,16.95,8.75
275080,1990,32.91,30.81,30.11,4.25,1.92
275125,1990,7.20,17.57,32.68,29.47,13.08
275327,1990,15.86,22.04,27.38,23.37,11.35
275412,1990,5.42,14.42,33.22,35.16,11.78
275553,1990,30.20,41.14,22.04,4.38,2.24
275899,1990,10.18,26.03,39.05,17.93,6.81
275992,1990,22.51,29.63,29.06,14.25,4.56
276222,1990,22.54,35.22,30.06,7.93,4.24
276294,1990,10.38,28.97,30.26,20.04,10.35
276532,1990,17.66,23.62,32.65,18.06,8.01
344054,1990,24.22,33.53,32.87,7.24,2.14
344057,1990,15.62,22.42,34.84,18.79,8.33
344059,1990,20.50,32.01,31.47,11.83,4.19
