region,regionid,year,"0-9,999","10,000-14,999","15,000-19,999","20,000-24,999","25,000-29,999","30,000-34,999","35,000-39,999","40,000-44,999","45,000-49,999","50,000-59,999","60,000-74,999","75,000-99,999","100,000-124,999","125,000-149,999","150,000-199,999","200,000+"
"Alameda",206428,2009,2.97,0.67,1.47,1.84,1.38,1.31,3.30,1.48,2.55,6.34,12.83,11.92,14.98,10.45,15.12,11.39
"Bridlemile",206554,2009,6.67,3.82,3.84,2.65,4.43,2.34,4.43,4.97,3.74,7.78,6.93,8.45,10.97,9.54,6.56,12.88
"Brooklyn",206562,2009,6.30,4.66,6.28,6.29,6.48,6.41,3.78,7.04,9.81,10.95,9.61,7.08,7.93,2.37,2.19,2.80
"Eastmoreland",206780,2009,2.03,2.97,0.50,2.91,1.85,1.32,4.44,0.50,1.88,6.40,6.28,15.22,17.21,11.93,8.08,16.48
"Hazelwood",206971,2009,5.23,8.35,6.67,6.56,8.19,5.89,6.35,8.16,5.96,8.88,8.33,11.16,4.82,1.74,1.93,1.76
"Hillsdale",206987,2009,4.27,4.46,4.39,3.79,4.34,3.37,4.35,3.71,4.82,5.71,8.65,10.11,12.52,6.86,8.73,9.92
"Irvington",207031,2009,4.59,4.24,6.80,3.00,2.79,6.04,9.39,5.31,4.34,8.21,8.80,10.91,9.60,5.64,4.34,5.99
"Kenton",207061,2009,6.49,6.00,4.25,5.27,4.74,4.91,6.10,3.77,8.86,10.58,9.28,14.33,5.97,3.74,5.21,0.50
"Lents",207108,2009,9.34,7.07,7.11,5.86,5.92,5.23,6.01,7.13,7.20,11.08,10.09,11.56,2.85,1.11,1.64,0.80
"Linnton",207125,2009,0.39,1.38,0.13,5.85,2.16,6.72,5.17,0.30,4.75,4.78,4.06,17.41,11.98,4.37,9.40,21.14
"Montavilla",207230,2009,8.29,4.70,8.48,6.87,6.06,4.80,5.93,7.14,6.22,9.74,9.54,12.58,5.18,2.64,1.03,0.77
"Parkrose",207340,2009,7.47,6.04,3.84,6.18,8.75,7.31,5.52,5.70,5.43,9.81,9.81,11.69,6.50,2.71,1.42,1.83
"Powellhurst",207384,2009,14.31,7.98,6.77,8.01,7.17,6.94,4.38,5.24,5.41,6.95,9.29,8.57,4.81,2.04,1.74,0.38
"University Park",207639,2009,12.00,4.90,3.96,1.34,5.31,2.80,9.61,6.62,2.66,5.69,15.17,14.50,3.49,7.52,1.42,3.03
"Woodstock",207740,2009,6.49,3.96,3.58,6.18,4.95,4.91,5.39,5.26,5.71,10.34,12.86,17.35,7.08,2.55,2.32,1.07
"Arbor Lodge",271060,2009,3.39,7.76,3.07,2.69,7.87,5.02,5.36,3.88,6.23,10.18,17.01,11.26,9.28,1.81,2.93,2.28
"Argay",271061,2009,3.50,6.36,5.27,6.06,7.31,6.11,3.08,4.36,4.07,13.10,10.54,11.72,8.93,3.70,3.65,2.23
