region,regionid,year,White,Black,Native American,Asian,Pacific Islander,Other, "2 or more",year,White,Black,Native American,Asian,Pacific Islander,Other, "2 or more"
"Alameda",206428,2000,90.78,3.57,0.29,1.93,0.04,0.68,2.71,2010,90.37,2.44,0.33,2.57,0.09,0.66,3.55
"Bridlemile",206554,2000,90.63,1.26,0.40,2.64,0.12,2.46,2.50,2010,90.70,1.15,0.62,3.30,0.20,0.67,3.36
"Brooklyn",206562,2000,83.75,3.11,1.47,4.91,0.30,2.42,4.04,2010,83.53,4.76,0.79,4.31,0.16,1.52,4.94
"Eastmoreland",206780,2000,93.44,0.38,0.41,2.92,0.18,0.79,1.87,2010,92.38,0.52,0.35,3.10,0.13,0.58,2.94
"Hazelwood",206971,2000,77.73,3.26,1.21,8.40,0.30,4.74,4.36,2010,68.93,7.24,1.27,9.71,0.84,7.18,4.81
"Hillsdale",206987,2000,90.11,1.33,0.52,3.88,0.11,1.26,2.78,2010,89.04,1.59,0.48,3.98,0.19,0.87,3.86
"Irvington",207031,2000,77.87,13.34,0.70,2.70,0.11,1.42,3.86,2010,84.83,6.34,0.64,3.06,0.16,1.51,3.45
"Kenton",207061,2000,63.76,14.52,2.05,5.68,1.06,5.85,7.09,2010,65.51,12.96,1.47,4.65,1.71,6.36,7.34
"Lents",207108,2000,76.38,1.80,1.31,8.89,0.40,6.33,4.90,2010,65.28,4.79,1.33,14.28,0.66,8.68,4.98
"Linnton",207125,2000,90.51,1.20,1.24,2.69,0.47,1.59,2.30,2010,88.93,0.76,1.02,5.19,0.10,1.33,2.67
"Montavilla",207230,2000,75.71,3.25,0.98,11.59,0.49,3.52,4.46,2010,70.97,5.23,1.34,12.58,0.66,4.00,5.22
"Parkrose",207340,2000,76.85,4.34,1.15,10.02,0.43,3.22,4.00,2010,67.27,8.18,1.25,10.59,1.26,6.64,4.81
"Powellhurst",207384,2000,77.77,2.67,1.11,8.95,0.29,4.78,4.43,2010,62.27,7.11,1.41,14.11,1.26,8.81,5.02
"University Park",207639,2000,85.38,2.26,0.92,4.25,0.82,2.49,3.88,2010,83.46,2.31,1.09,2.98,0.98,3.00,6.19
"Woodstock",207740,2000,86.93,1.17,1.07,6.29,0.07,1.31,3.16,2010,86.83,0.97,0.88,6.10,0.17,1.07,3.98
"Arbor Lodge",271060,2000,75.54,8.68,1.28,5.17,0.70,3.41,5.21,2010,78.47,6.07,0.97,4.64,1.04,2.97,5.83
"Argay",271061,2000,75.48,6.20,0.59,8.65,0.71,4.63,3.74,2010,65.16,10.31,1.25,10.34,1.33,7.27,4.34
"Boise",271065,2000,38.17,43.24,1.58,2.67,1.14,6.87,6.32,2010,60.88,24.70,1.41,2.66,0.46,3.89,6.00
"Bridgeton",271067,2000,74.91,11.09,1.24,5.61,0.41,2.80,3.93,2010,66.21,13.78,0.99,7.68,0.81,6.17,4.37
"Buckman",271068,2000,84.55,4.39,1.62,2.81,0.09,2.70,3.83,2010,87.91,2.55,1.09,2.62,0.10,1.55,4.20
"Cathedral Park",271070,2000,71.91,7.05,2.00,5.29,0.52,7.09,6.13,2010,74.78,6.56,1.86,2.97,1.03,7.37,5.43
"Centennial",271071,2000,80.12,2.06,0.92,6.19,0.25,6.14,4.32,2010,69.57,5.30,1.14,8.47,0.71,9.72,5.08
"Center",271072,2000,87.76,2.42,0.77,4.33,0.14,1.55,3.04,2010,85.91,3.43,0.87,4.04,0.09,1.62,4.04
"Concordia",271076,2000,59.32,27.57,0.89,3.27,0.75,2.22,5.98,2010,72.55,16.00,0.83,2.90,0.43,2.26,5.03
"Cully",271079,2000,67.93,8.78,1.33,7.22,0.45,9.79,4.50,2010,65.42,12.61,1.62,5.62,0.39,9.33,5.02
"Downtown",271082,2000,75.84,5.72,1.22,10.59,0.23,2.11,4.29,2010,77.29,4.41,1.25,10.66,0.29,1.71,4.38
"Eliot",271085,2000,51.67,34.33,1.50,1.39,0.56,3.23,7.33,2010,69.26,19.82,1.19,2.19,0.18,2.26,5.09
"Far Southwest",271087,2000,88.54,1.71,0.41,3.92,0.48,1.37,3.57,2010,86.19,2.76,0.54,4.84,0.30,1.29,4.08
"Five Oaks",271089,2000,64.76,2.25,0.41,25.16,0.23,3.43,3.75,2010,59.78,4.40,0.55,25.54,0.17,5.22,4.33
"Forest Park",271090,2000,91.49,0.66,0.29,5.12,0.04,0.43,1.98,2010,84.62,1.09,0.20,9.65,0.11,0.68,3.65
"Hayhurst",271098,2000,90.75,1.22,0.67,3.22,0.12,1.57,2.46,2010,89.86,1.45,0.38,3.56,0.03,1.04,3.68
"Kerns",271104,2000,82.83,5.09,1.32,3.37,0.16,2.45,4.77,2010,88.39,2.26,1.02,2.54,0.22,1.43,4.14
