"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,204900,202250,223000,220000,222900,225500,220000,219500,229000,219900,209700,199500,194900,198000,199999,209000,219000,217000,199900,195000,189700,195000,189900,189000,190000,199625,199500,194950,199900,205950,2e+05,189000,185000,190000,214950,205000,209950,220000,238000,244925,249000,249900,245000,249900,239900,239000,242900,250000,249900,250000,269900,275000,287750,279900,275000,282000,274900,279950,269900,268500,289000,3e+05,324900,320000,330000,335000,325000,319000,335000,339900,346500,339700,339000,349000,349999
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,155000,154900,150000,155000,158000,159550,159900,165000,164900,169000,170000,174900,170000,175000,175000,179999,185000,185000,185000,189900,189999,190000,190000,194900,198000,197000,197250,197000,195000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99997,1e+05,106000,109894,109900,110000,115000,117350,114900,112000,113400,110000,105000,113700,115000,117900,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000,137850,139000
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1017000,999000,1050000,992000,975000,1035000,999000,1025000,1095000,1075000,1095000,1082500,1095000,1095000,1147500,1100000,1112500,1095000,1127000,1195000,1195000,1295000,1275000,1200000,1270000,1275000,1295000,1395000,1250000,1299500,1375000,1400000,1450000,1399000,1460000,1475000,1500000,1552500,1597000,1675000,1745000,1750000,1699499.5,1760000,1805000,2e+06,1995000,1842000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,830000,799450,790000,744000,741950,749000,770000,799000,799000,8e+05,769000,775000,799000,799000,799000,829000,899000,899000,850000,849000,829000,849000,899000,899000,950000,1025000,1049000,999000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,269000,277450,289450,299000,295999,299000,305000,305000,299900,299999,299450,284900,309450,315000,315000,325000,328000,325000,329000,325000,329000,329000,332999.5,335000,335000,336000,345000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000,1085000,1049000,1095000,1049000,996475,1082000,1095000,1175000,1200000,1195000,1150000,1169000,1195000,1175000,1195000,1175000,1200000,1235000,1299000,1395000,1395000,1450000,1395000,1399000,1395000,1350000,1350000,1449500,1350000,1450000,1550000,1600000,1649000,1650000,1650000,1695000,1695000,1675000,1625000,1599500,1595000,1700000,1775000,1750000,1795000,1975000,1995000,1795000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107800,110000,108000,109800,114375,114000,114990,116200,118000,124900,125000,128500,119900,119900,124400,125000,126000,126500,132000,135000,135000,139000,139900,137950,137750,139900,138000,140000,140000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354000,369000,399000,360000,369994.5,357500,329000,359499.5,365000,360000,362500,389000,419000,422000,419000,439000,399000,447000,399000,428600.5,445000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184600,182000,175000,174700,180000,180000,179900,189000,183950,199900,2e+05,204000,204995,205000,215000,224900,221960,230000,238000,233999,239900,235000,236490,240000,240000,245000,244990,240000,245000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239900,244000,240000,239450,239950,249900,249450,249000,259400,259900,259000,255000,255450,249000,267000,271728.5,275000,268950,265000,270000,274950,283000,288950,290000,295000,299000,299000,299000,299000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,275000,265179.5,265000,275000,280000,282000,287900,287500,287000,285000,287250,284925,288450,296250,299900,3e+05,3e+05,309900,309700,299997,319900,319900,313650,316200,309900,314990,315000,315000
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189500,188000,185000,189000,189250,194900,199900,199900,199900,195000,199900,209900,204999,199000,204949.5,210000,210000,215900,219950,219900,212000,220000,220000,222000,225000,219900,219900,224900,226000
"Washington Heights","New York","NY","New York","New York",14,342000,362000,347000,355000,362000,369000,372000,369000,369000,359500,389000,389500,399000,355000,349500,349000,360000,360000,360000,329000,345000,345000,340000,329000,325000,329000,329000,339995,345000,316000,325000,3e+05,315500,322000,349000,349000,349250,349000,349750,369000,359000,354500,365000,380000,369000,389000,370000,389000,416500,424900,439000,432000,435000,450000,485000,444000,495000,450000,479000,498500,495000,490000,499000,479000,497000,499000,499500,495000,472000,469000,485000,499000,512500,515000,525000
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427499.5,425000,419750,417000,399900,399450,423558,424306,429000,429700,427933.5,429250,425000,375000,399900,399900,416990,399825,469000,469000,469900,495000,495000,479000,463152,459000,456504,462990,478900
"Astoria","New York","NY","New York","Queens",16,,,,,,,,,,,,,,,,,334500,347080,349000,399500,415000,415000,425000,415000,421944,425250,425000,395000,395000,388000,379000,369000,390000,399000,457000,465000,449000,461000,449000,427000,427000,415000,449000,449000,450000,454500,450000,449500,449000,430250,475000,470000,479000,495000,512500,520000,520000,530000,527500,539000,539000,535000,550000,560000,599000,599000,649000,645000,678020,688000,680000,669000,655000,662500,650000
