"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1295,1335,1300,1350,1200,1290,1350,1397.5,1450,1400,1450,1325,1395,1395,1395,1395,1395,1395,1400,1600,1600
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,1150,1175,1100,1100,1095,1100,1100,1100,1095,1040,1050,1050,1050,1050,1050,1000,1012.5,1000,1000,1000,1025,1025,1050,1095,1095,1100,1100,1125,1150,1130.5,1150,1150,1150,1150,1100,1100,1150,1150,1175,1195,1195,1199,1200,1150,1200,1275,1250,1250,1250,1275,1250,1250,1245,1250,1275,1295,1300
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,890,875,885,912.5,895,875,850,875,847.5,850,825,850,850,850,850,850,832.5,825,820,800,807.5,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,875,895,895,895,899,895,895,900,925,912.5,900,900,905,925,907.5,950,945
"Upper West Side","New York","NY","New York","New York",4,2850,2800,2900,2950,3200,3397.5,3500,3500,3600,3600,3400,3500,2900,3200,3200,3200,3100,3252,3352.5,3500,3500,3500,3450,3275,3395,3200,3200,3300,3399,3365,3400,3400,3425,3400,3300,3300,3300,3300,3295,3299,3250,3200,3250,3450,3450,3500,3500,3496,3500,3500,3500,3500,3600,3590,3500,3555,3600,3595,3590,3600,3515,3500,3600,3600,3610,3650,3650,3695,3650,3650,3650,3650,3657.5,3680
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3025,3025,3200,2997.5,2995,2995,2999.5,3150,3025,3097.5,2850,3000,3500,3575,3000,2990,3100,3200,3500
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1600,1600,1600,1712.5,1600,1550,1650,1800,1932.5,1882.5,1900,1860,1850,1850,1825,1939,2097.5,1795,1945,1832.5,2000,2050,2000,2000,1850,1900
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,2595,2637.5,2650,2700,2800,2872.5,2895,2950,2900,2900,2775,2800,2700,2700,2750,2700,2700,2730,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2600,2800,2900,3000,3000,3000,3000,3000,3000,3000,3000,3000,3095,3050,3050,3020,3075,3100,3100,3095,3095,3100,3150,3185,3155,3150,3150,3100,3100,3100,3155,3100
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,895,895,900,895,900,900,900,900,895,895,892.5,890,875,850,850,895,895,885,875,850,850,875,875,875,857.5,850,850,875,850,850,850,850,850,850,875,850,896.5,899,900,900,912.5,900,900,900,900,900,900,900,925,950,950,925,925,900,950,950,950,950,950,950,950,985,985
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",9,,,,,,1097.5,1200,1225,1200,1200,1100,1187.5,1195,1100,1100,1225,1197,1180,1125,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1099,1075,1075,1050,1050,1095,1090,1125,1125,1150,1150,1100,1100,1125,1150,1150,1150,1195,1195,1199,1200,1195,1195,1192.5,1200,1200,1195,1175,1195,1200,1200,1200,1150,1100
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,1450,1475,1497.5,1475,1500,1600,1550,1395,1275,1250,1250,1200,1200,1200,1195,1200,1250,1250,1200,1200,1190,1225,1250,1225,1200,1250,1200,1200,1235,1200,1200,1200,1195,1199,1195,1200,1195,1189,1195,1195,1195,1195,1175,1195,1250,1250,1250,1275,1295,1300,1300,1350,1350,1314,1350,1300,1325,1350,1375,1450,1500,1495,1500,1495,1455,1450,1450,1450,1475,1485,1595,1550,1550,1500
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",11,,,1100,1100,1125,1100,1100,1012.5,1000,1099,1099.5,1175,1100,1100,1145,1100,1100,1145,1100,1100,1095,1095,1099.5,1095,1070,1099,1100,1112.5,1100,1099,1100,1100,1150,1112.5,1125,1147.5,1150,1150,1150,1100,1100,1100,1095,1100,1100,1100,1150,1150,1150,1150,1150,1195,1199,1199,1200,1200,1200,1195,1195,1195,1200,1217,1200,1220,1200,1200,1225,1250,1250,1237.5,1225,1275,1249.5,1250
"Washington Heights","New York","NY","New York","New York",12,,,,,,,,,,,,,,1360,1495,1400,1400,1495,1525,1600,1425,1500,1500,1550,1541,1500,1500,1500,1550,1562.5,1600,1600,1595,1595,1600,1595,1600,1675,1695,1750,1750,1775,1750,1675,1700,1695,1700,1675,1665,1675,1697,1750,1725,1700,1700,1700,1700,1700,1700,1725,1700,1700,1725,1750,1797.5,1797.5,1800,1725,1750,1750,1700,1700,1700,1700
"Astoria","New York","NY","New York","Queens",13,,,,,,,,,,,,,,,,,1695,1825,2000,2000,1875,1700,1700,1700,1750,1800,1795,1800,1850,1950,2000,2100,2200,2200,2184,2200,2100,2100,2100,2100,2000,2085,2105,2200,2100,2300,2150,2100,2100,2150,2100,2100,2200,2250,2250,2200,2200,2300,2300,2350,2374.5,2350,2300,2300,2385,2450,2399,2399.5,2362.5,2300,2300,2350,2300,2350
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",14,,,999,999.5,962.5,950,975,1025,899,899,950,899,899,900,985,939.5,925,950,950,900,899,895,895,895,875,895,900,900,900,900,900,895,897,900,925,900,935,925,923.5,925,925,950,950,950,950,950,950,950,950,950,950,992.5,995,995,995,995,999,990,995,995,995,995,995,1015,1050,1045,995,1000,1020,1000,1045,1050,1050,1050
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1082,1147.5,1237.5,1295,1350.5,1312.5,1300,1439,1439,1395,1400,1600,1515,1535,1575,1475,1425,1450,1535,1507.5,1437.5,1450,1650,1517.5,1500,1395,1397.5,1380,1495,1395,1472.5,1495
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,2997.5,2997.5,2850,2950,3099,3147.5,3099,3099,3100,3295,3295,3299,3200,3300,3300,3500,3400
