GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,RNHE001,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017,RNHM001,GEOID10
"G41000109501001","2005-2009",,,"Oregon","41","Baker County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9501, Baker County, Oregon",375,27,40,22,18,37,10,13,44,0,56,38,12,39,7,3,9,41424,"Block Group 1, Census Tract 9501, Baker County, Oregon",71,16,30,14,14,24,12,14,33,123,32,29,10,27,8,5,14,6678,"410019501001"
"G41000109501002","2005-2009",,,"Oregon","41","Baker County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9501, Baker County, Oregon",360,16,3,19,51,14,20,17,8,7,4,27,62,56,13,4,39,74000,"Block Group 2, Census Tract 9501, Baker County, Oregon",69,12,4,24,42,18,22,18,8,13,6,17,39,44,19,8,32,32338,"410019501002"
"G41000109501003","2005-2009",,,"Oregon","41","Baker County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9501, Baker County, Oregon",486,42,0,11,7,0,17,11,62,40,22,31,134,74,0,26,9,76250,"Block Group 3, Census Tract 9501, Baker County, Oregon",95,58,123,16,11,123,20,16,44,31,21,28,65,48,123,25,15,18163,"410019501003"
"G41000109502001","2005-2009",,,"Oregon","41","Baker County","001",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9502, Baker County, Oregon",249,21,74,11,10,12,0,12,0,27,38,22,22,0,0,0,0,29271,"Block Group 1, Census Tract 9502, Baker County, Oregon",84,23,79,17,17,17,123,21,123,31,36,25,25,123,123,123,123,30235,"410019502001"
"G41000109502002","2005-2009",,,"Oregon","41","Baker County","001",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9502, Baker County, Oregon",269,28,29,44,29,8,0,16,6,11,54,9,22,13,0,0,0,26406,"Block Group 2, Census Tract 9502, Baker County, Oregon",68,26,31,56,23,13,123,25,10,17,44,14,22,21,123,123,123,23233,"410019502002"
"G41000109502003","2005-2009",,,"Oregon","41","Baker County","001",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9502, Baker County, Oregon",411,42,0,60,36,75,0,11,25,54,43,21,33,11,0,0,0,29464,"Block Group 3, Census Tract 9502, Baker County, Oregon",99,39,123,39,27,66,123,19,29,45,35,24,28,17,123,123,123,21060,"410019502003"
"G41000109502004","2005-2009",,,"Oregon","41","Baker County","001",,,"950200","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9502, Baker County, Oregon",420,23,0,24,10,52,0,24,19,64,28,32,55,32,19,38,0,49643,"Block Group 4, Census Tract 9502, Baker County, Oregon",68,26,123,27,17,43,123,28,22,41,25,28,37,31,21,28,123,12151,"410019502004"
"G41000109503001","2005-2009",,,"Oregon","41","Baker County","001",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9503, Baker County, Oregon",386,12,48,10,28,16,15,12,8,32,60,56,63,0,17,9,0,51364,"Block Group 1, Census Tract 9503, Baker County, Oregon",84,17,51,16,26,17,19,13,12,41,50,60,58,123,25,15,123,9137,"410019503001"
"G41000109503002","2005-2009",,,"Oregon","41","Baker County","001",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9503, Baker County, Oregon",396,63,38,3,8,31,19,36,0,19,49,22,26,10,18,0,54,43750,"Block Group 2, Census Tract 9503, Baker County, Oregon",81,42,30,5,13,28,22,31,123,24,40,20,27,18,20,123,67,17652,"410019503002"
"G41000109503003","2005-2009",,,"Oregon","41","Baker County","001",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9503, Baker County, Oregon",274,15,63,36,29,22,6,12,25,10,31,0,11,14,0,0,0,21983,"Block Group 3, Census Tract 9503, Baker County, Oregon",88,19,52,31,23,24,7,11,22,9,29,123,10,22,123,123,123,10447,"410019503003"
