GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ABDPE001,NAME_M,ABDOM001,ABDOM002,ABDOM003,ABDOM004,ABDOM005,ABDOM006,ABDOM007,ABDOM008,ABDOM009,ABDOM010,ABDOM011,ABDOM012,ABDOM013,ABDOM014,ABDOM015,ABDOM016,ABDOM017,ABDPM001,GEOID10
"G41000109501001","2010-2014",,,"Oregon","41","Baker County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9501, Baker County, Oregon",431,41,62,37,22,24,7,28,21,17,52,46,9,23,9,20,13,39141,"Block Group 1, Census Tract 9501, Baker County, Oregon",65,20,27,25,17,15,8,19,13,14,35,22,9,16,10,19,14,7610,"410019501001"
"G41000109501002","2010-2014",,,"Oregon","41","Baker County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9501, Baker County, Oregon",416,12,7,27,23,88,42,3,32,37,23,50,19,22,29,0,2,41071,"Block Group 2, Census Tract 9501, Baker County, Oregon",67,12,5,17,19,38,43,4,22,22,13,41,16,15,20,12,5,13584,"410019501002"
"G41000109501003","2010-2014",,,"Oregon","41","Baker County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9501, Baker County, Oregon",416,35,0,0,7,0,0,23,33,40,38,62,59,36,69,14,0,66250,"Block Group 3, Census Tract 9501, Baker County, Oregon",73,41,12,12,10,12,12,19,25,37,23,30,25,25,51,14,12,12412,"410019501003"
"G41000109502001","2010-2014",,,"Oregon","41","Baker County","001",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9502, Baker County, Oregon",458,0,9,16,41,7,20,28,19,0,24,41,100,41,78,9,25,78913,"Block Group 1, Census Tract 9502, Baker County, Oregon",65,12,13,17,41,12,20,26,24,12,27,42,53,31,60,13,28,18701,"410019502001"
"G41000109502002","2010-2014",,,"Oregon","41","Baker County","001",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9502, Baker County, Oregon",442,85,49,64,31,51,13,0,12,20,41,36,23,0,0,9,8,23182,"Block Group 2, Census Tract 9502, Baker County, Oregon",99,67,42,38,28,38,15,12,18,22,38,32,25,12,12,13,15,11286,"410019502002"
"G41000109502003","2010-2014",,,"Oregon","41","Baker County","001",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9502, Baker County, Oregon",472,20,134,28,7,8,0,40,14,33,40,58,10,41,24,15,0,39808,"Block Group 3, Census Tract 9502, Baker County, Oregon",97,23,80,34,12,13,12,39,16,30,29,44,15,28,27,17,12,16077,"410019502003"
"G41000109503001","2010-2014",,,"Oregon","41","Baker County","001",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9503, Baker County, Oregon",393,23,13,37,9,71,59,25,19,45,9,42,10,8,0,0,23,33616,"Block Group 1, Census Tract 9503, Baker County, Oregon",84,34,18,35,13,56,44,33,29,35,14,29,16,13,12,12,23,4862,"410019503001"
"G41000109503002","2010-2014",,,"Oregon","41","Baker County","001",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9503, Baker County, Oregon",555,132,32,54,7,22,54,0,56,22,33,10,115,0,0,0,18,33042,"Block Group 2, Census Tract 9503, Baker County, Oregon",78,63,33,33,12,30,41,12,50,19,31,15,58,12,12,12,19,12020,"410019503002"
"G41000109503003","2010-2014",,,"Oregon","41","Baker County","001",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9503, Baker County, Oregon",273,27,24,11,16,11,19,9,11,54,38,43,6,2,2,0,0,47527,"Block Group 3, Census Tract 9503, Baker County, Oregon",64,16,22,8,12,9,16,11,8,49,30,42,6,3,6,12,12,9726,"410019503003"
"G41000109504001","2010-2014",,,"Oregon","41","Baker County","001",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9504, Baker County, Oregon",747,97,44,48,42,88,23,36,38,36,74,38,82,23,50,13,15,39464,"Block Group 1, Census Tract 9504, Baker County, Oregon",82,53,33,45,46,63,27,37,33,28,47,28,42,25,46,21,23,11780,"410019504001"
