neighborhood_id,blkgrp_year,gisjoin,percent_inside
324,2010,G41005100056002,100
349,2010,G41005100058003,0
435,2010,G41005100058003,100
434,2010,G41005100059003,100
30,2010,G41005100099061,4.062
47,2010,G41005100099061,2.406
299,2010,G41005100099061,93.46
422,2010,G41005100099061,0.072
345,2010,G41005100051003,95.784
319,2010,G41005100051003,0.004
311,2010,G41005100051003,4.175
291,2010,G41005100051003,0.036
277,2010,G41005100051003,0
197,2010,G41005100064032,0.018
286,2010,G41005100064032,96.432
343,2010,G41005100064032,0.372
392,2010,G41005100064032,3.178
286,2010,G41005100065012,0.032
3,2010,G41005100065012,62.866
343,2010,G41005100065012,0.026
366,2010,G41005100065012,0.482
409,2010,G41005100065012,36.593
197,2010,G41005100064041,12.322
286,2010,G41005100064041,14.716
12,2010,G41005100064041,72.962
342,2010,G41005100098033,20.546
72,2010,G41005100098033,79.454
80,2010,G41005100088003,0.01
94,2010,G41005100088003,13.93
52,2010,G41005100088003,1.268
147,2010,G41005100088003,84.711
407,2010,G41005100088003,0.081
0,2010,G41005100088003,0
362,2010,G41005100074001,100
365,2010,G41005100074002,0
362,2010,G41005100074002,100
374,2010,G41005100003026,0.012
431,2010,G41005100003026,99.988
186,2010,G41005100003024,0.016
190,2010,G41005100003024,34.389
80,2010,G41005100003024,14.951
94,2010,G41005100003024,0.361
52,2010,G41005100003024,0.007
147,2010,G41005100003024,0.003
407,2010,G41005100003024,1.316
431,2010,G41005100003024,40.044
432,2010,G41005100003024,8.912
407,2010,G41005100004011,99.789
438,2010,G41005100004011,0.211
322,2010,G41005100004021,22.678
407,2010,G41005100004021,77.244
438,2010,G41005100004021,0.078
147,2010,G41005100087002,100
147,2010,G41005100087001,99.951
322,2010,G41005100087001,0.049
437,2010,G41005100007012,0.018
348,2010,G41005100007012,0.124
436,2010,G41005100007012,99.858
322,2010,G41005100007024,0.06
348,2010,G41005100007024,99.939
438,2010,G41005100007024,0
289,2010,G41005100094003,58.303
344,2010,G41005100094003,0.549
36,2010,G41005100094003,41.148
351,2010,G41005100009012,99.578
438,2010,G41005100009012,0.422
350,2010,G41005100009023,0.096
347,2010,G41005100009023,0.001
375,2010,G41005100009023,0.012
438,2010,G41005100009023,99.891
365,2010,G41005100030001,99.914
362,2010,G41005100030001,0.052
381,2010,G41005100030001,0.033
342,2010,G41005100097013,100
350,2010,G41005100012012,0.182
352,2010,G41005100012012,69.571
328,2010,G41005100012012,30.246
351,2010,G41005100012012,0
277,2010,G41005100033022,0
384,2010,G41005100033022,0
60,2010,G41005100033022,99.975
278,2010,G41005100033022,0.015
382,2010,G41005100033022,0.01
60,2010,G41005100033021,4.874
279,2010,G41005100033021,0.018
278,2010,G41005100033021,0
382,2010,G41005100033021,95.107
364,2010,G41005100035011,100
275,2010,G41005100036014,0.009
60,2010,G41005100036014,65.544
276,2010,G41005100036014,34.448
59,2010,G41005100036014,0
56,2010,G41005100104081,0.232
38,2010,G41005100104081,99.768
253,2010,G41005100104082,0.064
56,2010,G41005100104082,98.477
38,2010,G41005100104082,0.54
71,2010,G41005100104082,0.918
275,2010,G41005100037013,100
275,2010,G41005100037011,99.923
224,2010,G41005100037011,0.073
276,2010,G41005100037011,0.004
68,2010,G41005100083011,99.877
437,2010,G41005100083011,0.001
348,2010,G41005100083011,0.122
436,2010,G41005100083011,0
63,2010,G41005100068022,0.263
194,2010,G41005100068022,8.999
346,2010,G41005100068022,90.739
315,2010,G41005100019002,99.978
320,2010,G41005100019002,0.022
352,2010,G41005100020004,83.343
319,2010,G41005100020004,16.657
363,2010,G41005100039021,100
273,2010,G41005100040014,0.039
272,2010,G41005100040014,99.23
40,2010,G41005100040014,0.731
278,2010,G41005100024013,100
278,2010,G41005100024012,100
273,2010,G41005100040023,98.476
272,2010,G41005100040023,0.003
271,2010,G41005100040023,1.178
40,2010,G41005100040023,0.343
40,2010,G41005100041013,100
271,2010,G41005100041014,2.996
40,2010,G41005100041014,97.004
278,2010,G41005100025021,0.038
312,2010,G41005100025021,0.007
318,2010,G41005100025021,99.955
319,2010,G41005100025022,1.14
278,2010,G41005100025022,0
312,2010,G41005100025022,98.85
82,2010,G41005100025022,0.002
315,2010,G41005100025022,0
318,2010,G41005100025022,0.008
177,2010,G41005100103061,0.026
189,2010,G41005100103061,99.741
169,2010,G41005100103061,0.189
200,2010,G41005100103061,0.044
53,2010,G41005100104023,0.857
38,2010,G41005100104023,9.126
71,2010,G41005100104023,89.949
111,2010,G41005100104023,0.068
352,2010,G41005100021002,76.574
319,2010,G41005100021002,23.426
268,2010,G41005100047001,0.004
316,2010,G41005100047001,0.033
358,2010,G41005100047001,99.963
101,2010,G41005100096062,99.845
77,2010,G41005100096062,0.001
418,2010,G41005100096062,0.155
101,2010,G41005100096032,99.891
77,2010,G41005100096032,0.08
99,2010,G41005100096032,0.029
358,2010,G41005100052003,0.001
430,2010,G41005100052003,99.999
349,2010,G41005100055001,0.098
327,2010,G41005100055001,60.063
324,2010,G41005100055001,16.86
430,2010,G41005100055001,22.98
148,2010,G41000500228004,37.931
145,2010,G41000500228004,0.159
150,2010,G41000500228004,0.847
149,2010,G41000500228004,60.83
148,2010,G41000500238001,99.827
145,2010,G41000500238001,0.173
18,2010,G41006700304012,0.015
65,2010,G41006700304012,46.947
20,2010,G41006700304012,53.038
3,2010,G41006700306001,2.89
65,2010,G41006700306001,0.06
366,2010,G41006700306001,97.05
24,2010,G41006700316174,100
24,2010,G41006700316173,98.955
229,2010,G41006700316173,1.045
69,2010,G41006700312004,99.936
67,2010,G41006700312004,0.038
35,2010,G41006700312004,0.026
69,2010,G41006700314021,54.991
46,2010,G41006700314021,2.35
359,2010,G41006700314021,42.66
376,2010,G41000500205042,24.039
377,2010,G41000500205042,34.41
131,2010,G41000500205042,30.655
130,2010,G41000500205042,0.179
179,2010,G41000500205042,8.494
22,2010,G41000500205042,0.008
262,2010,G41000500205042,0.025
16,2010,G41000500221071,34.038
55,2010,G41000500221071,0.538
0,2010,G41000500221071,18.089
300,2010,G41000500221071,23.024
301,2010,G41000500221071,24.311
245,2010,G41006700318072,0.058
67,2010,G41006700318072,0.661
32,2010,G41006700318072,99.28
412,2010,G41006700324091,100
340,2010,G41000500215002,0.004
16,2010,G41000500215002,0.023
55,2010,G41000500215002,73.694
37,2010,G41000500215002,19.813
158,2010,G41000500215002,6.127
0,2010,G41000500215002,0.172
185,2010,G41000500215002,0.166
69,2010,G41006700301021,73.694
46,2010,G41006700301021,0.332
39,2010,G41006700301021,14.534
420,2010,G41006700301021,11.441
128,2010,G41000500241002,1.57
123,2010,G41000500241002,33.584
116,2010,G41000500241002,64.846
123,2010,G41000500241001,0.137
116,2010,G41000500241001,68.96
115,2010,G41000500241001,30.904
45,2010,G41000500222052,0.569
300,2010,G41000500222052,29.491
301,2010,G41000500222052,69.939
300,2010,G41000500221052,98.024
301,2010,G41000500221052,1.976
304,2010,G41006700319072,100
19,2010,G41006700320053,0.006
288,2010,G41006700320053,71.173
321,2010,G41006700320053,28.821
123,2010,G41000500237004,22.739
116,2010,G41000500237004,0.018
115,2010,G41000500237004,45.723
89,2010,G41000500237004,23.823
219,2010,G41000500237004,7.698
89,2010,G41000500237002,83.391
219,2010,G41000500237002,16.609
31,2010,G41006700332001,20.919
84,2010,G41006700332001,76.996
250,2010,G41006700332001,2.085
92,2010,G41000500223011,90.547
91,2010,G41000500223011,9.453
120,2010,G41000500226053,0.03
110,2010,G41000500226053,54.341
88,2010,G41000500226053,18.076
87,2010,G41000500226053,12.559
165,2010,G41000500226053,0.001
219,2010,G41000500226053,14.95
226,2010,G41000500226053,0.044
114,2010,G41006700330002,0.051
83,2010,G41006700330002,66.011
85,2010,G41006700330002,33.819
250,2010,G41006700334001,0.004
81,2010,G41006700334001,44.917
442,2010,G41006700334001,55.078
37,2010,G41000500212002,53.097
191,2010,G41000500212002,46.903
126,2010,G41000500227072,14.748
113,2010,G41000500227072,75.845
121,2010,G41000500227072,9.407
51,2010,G41006700318042,0.032
223,2010,G41006700318042,99.968
223,2010,G41006700318062,64.538
32,2010,G41006700318062,35.462
83,2010,G41006700329022,0.195
31,2010,G41006700329022,52.4
84,2010,G41006700329022,47.405
84,2010,G41006700333011,86.104
250,2010,G41006700333011,13.896
78,2010,G41000500230012,16.856
92,2010,G41000500230012,0.029
219,2010,G41000500230012,83.116
104,2010,G41006700318132,99.94
107,2010,G41006700318132,0.06
366,2010,G41006700319074,0.91
304,2010,G41006700319074,99.09
366,2010,G41006700319082,0.114
97,2010,G41006700319082,99.273
304,2010,G41006700319082,0.612
51,2010,G41006700316152,99.992
412,2010,G41006700316152,0.008
93,2010,G41000500220003,99.393
55,2010,G41000500220003,0.607
93,2010,G41000500220002,85.434
61,2010,G41000500220002,14.565
37,2010,G41000500220002,0
51,2010,G41006700316154,100
96,2010,G41000500202001,0.003
187,2010,G41000500202001,0.036
155,2010,G41000500202001,99.724
25,2010,G41000500202001,0.237
15,2010,G41000500202001,0
13,2010,G41000500221031,22.502
300,2010,G41000500221031,58.325
301,2010,G41000500221031,19.067
307,2010,G41000500221031,0.084
309,2010,G41000500221031,0.021
51,2010,G41006700316061,100
51,2010,G41006700316062,100
37,2010,G41000500212003,100
37,2010,G41000500213003,99.132
136,2010,G41000500213003,0.868
51,2010,G41006700317051,99.995
223,2010,G41006700317051,0.005
51,2010,G41006700318061,0.475
223,2010,G41006700318061,48.444
32,2010,G41006700318061,51.081
110,2010,G41000500225004,0.491
144,2010,G41000500225004,10.885
74,2010,G41000500225004,13.963
58,2010,G41000500225004,0.044
413,2010,G41000500225004,27.203
313,2010,G41000500225004,0.893
410,2010,G41000500225004,46.521
114,2010,G41006700317041,0.06
51,2010,G41006700317041,99.94
105,2010,G41006700304022,94.603
20,2010,G41006700304022,5.397
69,2010,G41006700310032,0.275
67,2010,G41006700310032,99.725
32,2010,G41006700310032,0
67,2010,G41006700310033,99.969
32,2010,G41006700310033,0.031
142,2010,G41000500234044,100
139,2010,G41000500205031,36.839
22,2010,G41000500205031,8.775
183,2010,G41000500205031,0
134,2010,G41000500205031,3.957
9,2010,G41000500205031,34.232
262,2010,G41000500205031,16.196
149,2010,G41004700102021,0.195
342,2010,G41005100097022,16.191
72,2010,G41005100097022,83.801
101,2010,G41005100097022,0.008
30,2010,G41005100099051,20.36
299,2010,G41005100099051,42.071
422,2010,G41005100099051,37.569
2,2010,G41005100064031,0.009
197,2010,G41005100064031,0.048
286,2010,G41005100064031,99.944
39,2010,G41005100070004,0.042
354,2010,G41005100070004,88.627
428,2010,G41005100070004,11.33
299,2010,G41005100099031,0.243
422,2010,G41005100099031,99.757
75,2010,G41005100100013,68.315
47,2010,G41005100100013,31.585
99,2010,G41005100100013,0.1
253,2010,G41005100104084,0.008
56,2010,G41005100104084,99.992
189,2010,G41005100103062,71.225
200,2010,G41005100103062,28.775
342,2010,G41005100091021,55.05
437,2010,G41005100091021,44.95
328,2010,G41005100013023,0.047
351,2010,G41005100013023,99.953
277,2010,G41005100024011,0
279,2010,G41005100024011,44.415
278,2010,G41005100024011,55.584
382,2010,G41005100024011,0.001
324,2010,G41005100056004,100
343,2010,G41005100066023,99.959
132,2010,G41005100066023,0.037
63,2010,G41005100066023,0.004
282,2010,G41005100080012,86.398
344,2010,G41005100080012,1.147
310,2010,G41005100080012,12.455
181,2010,G41005100002002,89.894
347,2010,G41005100002002,0
431,2010,G41005100002002,10.106
407,2010,G41005100003025,0.066
431,2010,G41005100003025,99.934
329,2010,G41005100082022,65.452
344,2010,G41005100082022,34.548
68,2010,G41005100083012,0.166
437,2010,G41005100083012,99.718
314,2010,G41005100083012,0.083
436,2010,G41005100083012,0.033
407,2010,G41005100004012,100
322,2010,G41005100004022,27.847
407,2010,G41005100004022,72.153
147,2010,G41005100005013,0.318
322,2010,G41005100005013,99.682
68,2010,G41005100085001,0.002
