GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,AIANHHA,URBRURALA,NAME,HD1001,HD1002,HD1003,HD1004,HD1005,HD1006,HD1007,HD1008,HD1009,HD1010,HD1011,HD1012,HD1013,HD1014,HD1015,HD1016,HD1017,HD1018,HD1019,HD1020,HD1021,HD1022,HD1023,HD1024,HD1025,HD1026,HD1027,HD1028,HD1029,HD1030,HD1031,HD1032
"G41000109501001","2000","Oregon","41","Baker","001",,,"950100","1",,,"Block Group 1",2,0,0,6,15,5,25,11,136,53,66,24,31,11,0,0,2,0,0,11,9,9,12,21,124,32,71,23,21,19,3,0
"G41000109501002","2000","Oregon","41","Baker","001",,,"950100","2",,,"Block Group 2",0,3,6,5,1,10,29,10,94,20,56,4,39,25,0,2,0,0,0,13,1,6,4,4,99,63,56,7,13,32,2,3
"G41000109501003","2000","Oregon","41","Baker","001",,,"950100","3",,,"Block Group 3",0,0,0,9,0,0,8,7,63,28,64,40,110,17,16,0,0,2,0,6,0,14,0,0,66,44,78,69,43,22,12,2
"G41000109502001","2000","Oregon","41","Baker","001",,,"950200","1",,,"Block Group 1",0,0,0,0,0,0,22,5,44,0,51,12,31,5,0,0,0,0,0,0,8,7,0,0,101,54,16,7,25,8,0,0
"G41000109502002","2000","Oregon","41","Baker","001",,,"950200","2",,,"Block Group 2",0,0,0,0,6,32,0,10,40,12,19,0,40,4,4,0,0,0,0,5,5,5,0,12,69,11,50,6,13,14,0,0
"G41000109502003","2000","Oregon","41","Baker","001",,,"950200","3",,,"Block Group 3",8,14,16,23,0,15,4,16,97,47,30,18,39,4,6,0,0,0,0,39,17,36,0,4,144,36,88,16,29,0,0,0
"G41000109502004","2000","Oregon","41","Baker","001",,,"950200","4",,,"Block Group 4",5,0,0,15,12,0,14,13,50,65,81,23,50,6,0,0,0,0,0,9,7,0,33,35,99,48,29,20,58,23,0,0
"G41000109503001","2000","Oregon","41","Baker","001",,,"950300","1",,,"Block Group 1",0,5,0,10,12,18,13,4,82,30,17,9,31,9,0,0,0,0,11,4,31,17,15,7,94,32,30,33,25,5,0,0
"G41000109503002","2000","Oregon","41","Baker","001",,,"950300","2",,,"Block Group 2",0,0,0,30,5,0,27,30,164,58,65,5,45,10,7,0,0,0,6,6,0,11,37,23,174,68,45,10,34,18,0,0
"G41000109503003","2000","Oregon","41","Baker","001",,,"950300","3",,,"Block Group 3",9,1,7,10,9,8,17,7,89,35,31,14,14,4,0,0,2,0,2,9,6,17,7,10,94,34,25,12,4,2,0,0
"G41000109504001","2000","Oregon","41","Baker","001",,,"950400","1",,,"Block Group 1",0,0,0,14,5,29,17,4,104,30,40,37,51,23,0,0,10,0,0,21,5,24,14,24,156,60,72,41,69,5,32,0
"G41000109504002","2000","Oregon","41","Baker","001",,,"950400","2",,,"Block Group 2",0,0,17,12,26,0,0,0,81,40,21,13,41,15,0,0,0,0,0,6,27,11,21,23,84,30,44,9,37,0,0,0
