GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,GEOID10
"G41000109501001","2010","Oregon","41","Baker County","001","950100","1",968.00,968,968,813,0.00,0,0,0,17.00,17,17,12,2.00,2,2,10,0.00,0,0,0,2.00,2,2,6,15.00,15,15,12,"410019501001"
"G41000109501002","2010","Oregon","41","Baker County","001","950100","2",889.00,889,889,840,1.00,1,1,1,8.00,8,8,6,2.00,2,2,0,0.00,0,0,1,4.00,4,4,18,18.00,18,18,27,"410019501002"
"G41000109501003","2010","Oregon","41","Baker County","001","950100","3",980.00,980,980,971,0.00,0,0,0,4.00,4,4,8,1.00,1,1,1,0.00,0,0,4,8.00,8,8,10,9.00,9,9,21,"410019501003"
"G41000109502001","2010","Oregon","41","Baker County","001","950200","1",935.00,935,935,933,0.00,0,0,3,13.00,13,13,11,3.00,3,3,2,0.00,0,0,0,10.00,10,10,4,5.00,5,5,26,"410019502001"
"G41000109502002","2010","Oregon","41","Baker County","001","950200","2",1205.00,1205,1205,1120,6.00,6,6,5,29.00,29,29,17,6.00,6,6,6,2.00,2,2,0,20.00,20,20,32,29.00,29,29,29,"410019502002"
"G41000109502003","2010","Oregon","41","Baker County","001","950200","3",973.00,973,973,903,1.00,1,1,3,8.00,8,8,16,0.00,0,0,6,3.00,3,3,1,12.00,12,12,6,31.00,31,31,22,"410019502003"
"G41000109503001","2010","Oregon","41","Baker County","001","950300","1",870.00,870,870,844,3.00,3,3,4,8.00,8,8,9,2.00,2,2,3,0.00,0,0,0,9.00,9,9,7,14.00,14,14,22,"410019503001"
"G41000109503002","2010","Oregon","41","Baker County","001","950300","2",1138.00,1138,1138,1137,2.00,2,2,3,15.00,15,15,8,9.00,9,9,2,0.00,0,0,1,14.00,14,14,7,22.00,22,22,45,"410019503002"
"G41000109503003","2010","Oregon","41","Baker County","001","950300","3",668.00,668,668,513,2.00,2,2,1,8.00,8,8,19,0.00,0,0,4,0.00,0,0,0,0.00,0,0,4,9.00,9,9,15,"410019503003"
"G41000109504001","2010","Oregon","41","Baker County","001","950400","1",1161.00,1161,1161,1301,0.00,0,0,0,10.00,10,10,13,16.00,16,16,20,0.00,0,0,0,7.00,7,7,8,13.00,13,13,28,"410019504001"
"G41000109504002","2010","Oregon","41","Baker County","001","950400","2",714.00,714,714,641,2.00,2,2,0,8.00,8,8,14,6.00,6,6,5,1.00,1,1,0,9.00,9,9,7,10.00,10,10,24,"410019504002"
"G41000109504003","2010","Oregon","41","Baker County","001","950400","3",862.00,862,862,917,0.00,0,0,3,7.00,7,7,13,1.00,1,1,1,0.00,0,0,0,12.00,12,12,7,19.00,19,19,24,"410019504003"
"G41000109505001","2010","Oregon","41","Baker County","001","950500","1",1820.00,1820,1820,1738,3.00,3,3,3,11.00,11,11,10,9.00,9,9,10,0.00,0,0,0,16.00,16,16,29,39.00,39,39,36,"410019505001"
"G41000109505002","2010","Oregon","41","Baker County","001","950500","2",703.00,703,703,746,16.00,16,16,22,5.00,5,5,6,4.00,4,4,6,0.00,0,0,0,18.00,18,18,13,10.00,10,10,11,"410019505002"
"G41000109506001","2010","Oregon","41","Baker County","001","950600","1",622.00,622,622,524,1.00,1,1,0,3.00,3,3,1,0.00,0,0,0,0.00,0,0,1,1.00,1,1,0,4.00,4,4,8,"410019506001"
"G41000109506002","2010","Oregon","41","Baker County","001","950600","2",594.00,594,594,519,2.00,2,2,0,15.00,15,15,12,0.00,0,0,2,0.00,0,0,1,1.00,1,1,5,7.00,7,7,11,"410019506002"
"G41000109506003","2010","Oregon","41","Baker County","001","950600","3",916.00,916,916,804,0.00,0,0,9,13.00,13,13,6,3.00,3,3,0,1.00,1,1,0,11.00,11,11,1,23.00,23,23,20,"410019506003"
"G41000300001001","2010","Oregon","41","Benton County","003","000100","1",1118.00,1118,1118,1124,15.00,15,15,26,17.00,17,17,8,27.00,27,27,37,2.00,2,2,11,66.00,66,66,27,26.00,26,26,37,"410030001001"
"G41000300001002","2010","Oregon","41","Benton County","003","000100","2",1150.00,1150,1150,1141,11.00,11,11,13,16.00,16,16,9,22.00,22,22,15,3.00,3,3,1,117.00,117,117,95,49.00,49,49,59,"410030001002"
"G41000300001003","2010","Oregon","41","Benton County","003","000100","3",1237.00,1237,1237,1204,17.00,17,17,20,21.00,21,21,7,31.00,31,31,43,1.00,1,1,4,76.00,76,76,98,39.00,39,39,62,"410030001003"
"G41000300001004","2010","Oregon","41","Benton County","003","000100","4",1271.00,1271,1271,2552,18.00,18,18,30,16.00,16,16,26,17.00,17,17,148,0.00,0,0,6,11.00,11,11,118,30.00,30,30,138,"410030001004"
"G41000300002021","2010","Oregon","41","Benton County","003","000202","1",1193.00,1193,1193,1333,1.00,1,1,10,12.00,12,12,4,9.00,9,9,18,0.00,0,0,1,3.00,3,3,7,19.00,19,19,46,"410030002021"
"G41000300002022","2010","Oregon","41","Benton County","003","000202","2",2628.00,2628,2628,3277,22.00,22,22,35,30.00,30,30,25,160.00,160,160,280,15.00,15,15,11,25.00,25,25,58,75.00,75,75,129,"410030002022"
"G41000300004001","2010","Oregon","41","Benton County","003","000400","1",1718.00,1718,1718,1688,23.00,23,23,21,12.00,12,12,13,134.00,134,134,143,2.00,2,2,3,15.00,15,15,60,42.00,42,42,59,"410030004001"
"G41000300004002","2010","Oregon","41","Benton County","003","000400","2",2012.00,2012,2012,2487,4.00,4,4,30,6.00,6,6,7,164.00,164,164,333,0.00,0,0,2,20.00,20,20,12,54.00,54,54,104,"410030004002"
"G41000300004003","2010","Oregon","41","Benton County","003","000400","3",1731.00,1731,1731,1615,9.00,9,9,17,6.00,6,6,10,81.00,81,81,84,1.00,1,1,1,29.00,29,29,6,27.00,27,27,53,"410030004003"
"G41000300004004","2010","Oregon","41","Benton County","003","000400","4",1074.00,1074,1074,995,6.00,6,6,2,8.00,8,8,5,38.00,38,38,44,0.00,0,0,2,4.00,4,4,3,20.00,20,20,21,"410030004004"
"G41000300005001","2010","Oregon","41","Benton County","003","000500","1",699.00,699,699,751,1.00,1,1,8,0.00,0,0,2,40.00,40,40,19,0.00,0,0,2,3.00,3,3,6,29.00,29,29,27,"410030005001"
"G41000300005002","2010","Oregon","41","Benton County","003","000500","2",1237.00,1237,1237,1163,12.00,12,12,6,0.00,0,0,0,34.00,34,34,46,0.00,0,0,1,16.00,16,16,2,25.00,25,25,34,"410030005002"
"G41000300005003","2010","Oregon","41","Benton County","003","000500","3",995.00,995,995,1001,3.00,3,3,2,7.00,7,7,11,7.00,7,7,22,1.00,1,1,0,9.00,9,9,8,17.00,17,17,30,"410030005003"
"G41000300006001","2010","Oregon","41","Benton County","003","000600","1",1465.00,1465,1465,1503,41.00,41,41,17,12.00,12,12,19,108.00,108,108,92,5.00,5,5,8,45.00,45,45,74,95.00,95,95,88,"410030006001"
"G41000300006002","2010","Oregon","41","Benton County","003","000600","2",1115.00,1115,1115,1028,19.00,19,19,10,8.00,8,8,6,9.00,9,9,18,6.00,6,6,1,30.00,30,30,18,41.00,41,41,37,"410030006002"
"G41000300006003","2010","Oregon","41","Benton County","003","000600","3",1739.00,1739,1739,1611,34.00,34,34,44,13.00,13,13,13,154.00,154,154,86,5.00,5,5,8,50.00,50,50,90,84.00,84,84,74,"410030006003"
"G41000300009001","2010","Oregon","41","Benton County","003","000900","1",868.00,868,868,730,6.00,6,6,11,2.00,2,2,4,14.00,14,14,25,2.00,2,2,0,16.00,16,16,6,9.00,9,9,42,"410030009001"
"G41000300009002","2010","Oregon","41","Benton County","003","000900","2",721.00,721,721,667,5.00,5,5,5,3.00,3,3,9,23.00,23,23,31,0.00,0,0,1,8.00,8,8,7,21.00,21,21,32,"410030009002"
"G41000300009003","2010","Oregon","41","Benton County","003","000900","3",1787.00,1787,1787,1579,14.00,14,14,11,12.00,12,12,9,202.00,202,202,219,10.00,10,10,12,39.00,39,39,53,57.00,57,57,71,"410030009003"
"G41000300009004","2010","Oregon","41","Benton County","003","000900","4",835.00,835,835,934,6.00,6,6,2,0.00,0,0,1,55.00,55,55,82,0.00,0,0,4,8.00,8,8,13,27.00,27,27,13,"410030009004"
"G41000300009005","2010","Oregon","41","Benton County","003","000900","5",796.00,796,796,815,8.00,8,8,2,1.00,1,1,3,23.00,23,23,18,0.00,0,0,0,5.00,5,5,5,14.00,14,14,22,"410030009005"
"G41000300010011","2010","Oregon","41","Benton County","003","001001","1",1008.00,1008,1008,939,6.00,6,6,13,16.00,16,16,14,47.00,47,47,83,5.00,5,5,9,10.00,10,10,61,33.00,33,33,46,"410030010011"
"G41000300010012","2010","Oregon","41","Benton County","003","001001","2",1059.00,1059,1059,970,32.00,32,32,16,28.00,28,28,22,75.00,75,75,41,4.00,4,4,4,127.00,127,127,202,55.00,55,55,70,"410030010012"
"G41000300010013","2010","Oregon","41","Benton County","003","001001","3",1175.00,1175,1175,1096,25.00,25,25,15,18.00,18,18,20,75.00,75,75,81,12.00,12,12,4,101.00,101,101,126,59.00,59,59,40,"410030010013"
"G41000300010021","2010","Oregon","41","Benton County","003","001002","1",821.00,821,821,799,17.00,17,17,9,7.00,7,7,5,69.00,69,69,114,0.00,0,0,0,8.00,8,8,11,34.00,34,34,37,"410030010021"
"G41000300010022","2010","Oregon","41","Benton County","003","001002","2",1248.00,1248,1248,1182,9.00,9,9,16,16.00,16,16,8,64.00,64,64,62,1.00,1,1,0,23.00,23,23,32,33.00,33,33,59,"410030010022"
"G41000300010023","2010","Oregon","41","Benton County","003","001002","3",754.00,754,754,717,1.00,1,1,1,0.00,0,0,5,41.00,41,41,34,0.00,0,0,6,7.00,7,7,25,19.00,19,19,37,"410030010023"
"G41000300011011","2010","Oregon","41","Benton County","003","001101","1",601.00,601,601,653,3.00,3,3,16,8.00,8,8,7,31.00,31,31,61,0.00,0,0,4,17.00,17,17,19,29.00,29,29,28,"410030011011"
"G41000300011012","2010","Oregon","41","Benton County","003","001101","2",663.00,663,663,822,16.00,16,16,16,8.00,8,8,9,85.00,85,85,124,4.00,4,4,2,10.00,10,10,14,33.00,33,33,41,"410030011012"
"G41000300011013","2010","Oregon","41","Benton County","003","001101","3",713.00,713,713,863,5.00,5,5,7,4.00,4,4,10,97.00,97,97,137,0.00,0,0,1,12.00,12,12,6,10.00,10,10,37,"410030011013"
"G41000300011014","2010","Oregon","41","Benton County","003","001101","4",874.00,874,874,704,6.00,6,6,1,9.00,9,9,7,34.00,34,34,28,0.00,0,0,2,16.00,16,16,5,10.00,10,10,38,"410030011014"
"G41000300011021","2010","Oregon","41","Benton County","003","001102","1",795.00,795,795,751,13.00,13,13,12,3.00,3,3,3,39.00,39,39,43,3.00,3,3,1,2.00,2,2,14,18.00,18,18,43,"410030011021"
"G41000300011022","2010","Oregon","41","Benton County","003","001102","2",1258.00,1258,1258,1252,12.00,12,12,15,11.00,11,11,6,101.00,101,101,104,4.00,4,4,6,37.00,37,37,19,46.00,46,46,53,"410030011022"
"G41000300011023","2010","Oregon","41","Benton County","003","001102","3",797.00,797,797,802,18.00,18,18,7,7.00,7,7,8,46.00,46,46,76,3.00,3,3,1,32.00,32,32,6,30.00,30,30,36,"410030011023"
"G41000300011024","2010","Oregon","41","Benton County","003","001102","4",946.00,946,946,927,20.00,20,20,13,6.00,6,6,5,243.00,243,243,215,0.00,0,0,4,9.00,9,9,29,40.00,40,40,68,"410030011024"
"G41000300101001","2010","Oregon","41","Benton County","003","010100","1",855.00,855,855,837,0.00,0,0,5,3.00,3,3,3,6.00,6,6,6,0.00,0,0,0,5.00,5,5,6,8.00,8,8,9,"410030101001"
"G41000300101002","2010","Oregon","41","Benton County","003","010100","2",1427.00,1427,1427,1774,2.00,2,2,6,12.00,12,12,21,22.00,22,22,29,0.00,0,0,2,25.00,25,25,28,37.00,37,37,46,"410030101002"
"G41000300101003","2010","Oregon","41","Benton County","003","010100","3",1938.00,1938,1938,2245,1.00,1,1,23,12.00,12,12,21,44.00,44,44,52,0.00,0,0,4,12.00,12,12,17,39.00,39,39,67,"410030101003"
"G41000300101004","2010","Oregon","41","Benton County","003","010100","4",1441.00,1441,1441,1548,3.00,3,3,4,4.00,4,4,10,15.00,15,15,20,0.00,0,0,1,5.00,5,5,14,26.00,26,26,28,"410030101004"
"G41000300101005","2010","Oregon","41","Benton County","003","010100","5",994.00,994,994,1582,0.00,0,0,2,6.00,6,6,3,8.00,8,8,42,4.00,4,4,5,11.00,11,11,12,19.00,19,19,47,"410030101005"
"G41000300102001","2010","Oregon","41","Benton County","003","010200","1",1454.00,1450,1454,1779,5.00,5,5,11,16.00,16,16,16,22.00,22,22,38,9.00,9,9,2,11.00,11,11,18,39.00,39,39,74,"410030102001"
