GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G41000109501001","2010","Oregon","41","Baker County","001","950100","1",1004.00,1004,1004,853,"410019501001"
"G41000109501002","2010","Oregon","41","Baker County","001","950100","2",922.00,922,922,893,"410019501002"
"G41000109501003","2010","Oregon","41","Baker County","001","950100","3",1002.00,1002,1002,1015,"410019501003"
"G41000109502001","2010","Oregon","41","Baker County","001","950200","1",966.00,966,966,979,"410019502001"
"G41000109502002","2010","Oregon","41","Baker County","001","950200","2",1297.00,1297,1297,1209,"410019502002"
"G41000109502003","2010","Oregon","41","Baker County","001","950200","3",1028.00,1028,1028,957,"410019502003"
"G41000109503001","2010","Oregon","41","Baker County","001","950300","1",906.00,906,906,889,"410019503001"
"G41000109503002","2010","Oregon","41","Baker County","001","950300","2",1200.00,1200,1200,1203,"410019503002"
"G41000109503003","2010","Oregon","41","Baker County","001","950300","3",687.00,687,687,556,"410019503003"
"G41000109504001","2010","Oregon","41","Baker County","001","950400","1",1207.00,1207,1207,1370,"410019504001"
"G41000109504002","2010","Oregon","41","Baker County","001","950400","2",750.00,750,750,691,"410019504002"
"G41000109504003","2010","Oregon","41","Baker County","001","950400","3",901.00,901,901,965,"410019504003"
"G41000109505001","2010","Oregon","41","Baker County","001","950500","1",1898.00,1898,1898,1826,"410019505001"
"G41000109505002","2010","Oregon","41","Baker County","001","950500","2",756.00,756,756,804,"410019505002"
"G41000109506001","2010","Oregon","41","Baker County","001","950600","1",631.00,631,631,534,"410019506001"
"G41000109506002","2010","Oregon","41","Baker County","001","950600","2",619.00,619,619,550,"410019506002"
"G41000109506003","2010","Oregon","41","Baker County","001","950600","3",967.00,967,967,840,"410019506003"
"G41000300001001","2010","Oregon","41","Benton County","003","000100","1",1271.00,1271,1271,1270,"410030001001"
"G41000300001002","2010","Oregon","41","Benton County","003","000100","2",1368.00,1368,1368,1333,"410030001002"
"G41000300001003","2010","Oregon","41","Benton County","003","000100","3",1422.00,1422,1422,1438,"410030001003"
"G41000300001004","2010","Oregon","41","Benton County","003","000100","4",1363.00,1363,1363,3018,"410030001004"
"G41000300002021","2010","Oregon","41","Benton County","003","000202","1",1237.00,1237,1237,1419,"410030002021"
"G41000300002022","2010","Oregon","41","Benton County","003","000202","2",2955.00,2955,2955,3815,"410030002022"
"G41000300004001","2010","Oregon","41","Benton County","003","000400","1",1946.00,1946,1946,1987,"410030004001"
"G41000300004002","2010","Oregon","41","Benton County","003","000400","2",2260.00,2260,2260,2975,"410030004002"
"G41000300004003","2010","Oregon","41","Benton County","003","000400","3",1884.00,1884,1884,1786,"410030004003"
"G41000300004004","2010","Oregon","41","Benton County","003","000400","4",1150.00,1150,1150,1072,"410030004004"
"G41000300005001","2010","Oregon","41","Benton County","003","000500","1",772.00,772,772,815,"410030005001"
"G41000300005002","2010","Oregon","41","Benton County","003","000500","2",1324.00,1324,1324,1252,"410030005002"
"G41000300005003","2010","Oregon","41","Benton County","003","000500","3",1039.00,1039,1039,1074,"410030005003"
"G41000300006001","2010","Oregon","41","Benton County","003","000600","1",1771.00,1771,1771,1801,"410030006001"
"G41000300006002","2010","Oregon","41","Benton County","003","000600","2",1228.00,1228,1228,1118,"410030006002"
"G41000300006003","2010","Oregon","41","Benton County","003","000600","3",2079.00,2079,2079,1926,"410030006003"
"G41000300009001","2010","Oregon","41","Benton County","003","000900","1",917.00,917,917,818,"410030009001"
"G41000300009002","2010","Oregon","41","Benton County","003","000900","2",781.00,781,781,752,"410030009002"
"G41000300009003","2010","Oregon","41","Benton County","003","000900","3",2121.00,2121,2121,1954,"410030009003"
"G41000300009004","2010","Oregon","41","Benton County","003","000900","4",931.00,931,931,1049,"410030009004"
"G41000300009005","2010","Oregon","41","Benton County","003","000900","5",847.00,847,847,865,"410030009005"
"G41000300010011","2010","Oregon","41","Benton County","003","001001","1",1125.00,1125,1125,1165,"410030010011"
"G41000300010012","2010","Oregon","41","Benton County","003","001001","2",1380.00,1380,1380,1325,"410030010012"
"G41000300010013","2010","Oregon","41","Benton County","003","001001","3",1465.00,1465,1465,1382,"410030010013"
"G41000300010021","2010","Oregon","41","Benton County","003","001002","1",956.00,956,956,975,"410030010021"
"G41000300010022","2010","Oregon","41","Benton County","003","001002","2",1394.00,1394,1394,1359,"410030010022"
"G41000300010023","2010","Oregon","41","Benton County","003","001002","3",822.00,822,822,825,"410030010023"
"G41000300011011","2010","Oregon","41","Benton County","003","001101","1",689.00,689,689,788,"410030011011"
"G41000300011012","2010","Oregon","41","Benton County","003","001101","2",819.00,819,819,1028,"410030011012"
"G41000300011013","2010","Oregon","41","Benton County","003","001101","3",841.00,841,841,1061,"410030011013"
"G41000300011014","2010","Oregon","41","Benton County","003","001101","4",949.00,949,949,785,"410030011014"
"G41000300011021","2010","Oregon","41","Benton County","003","001102","1",873.00,873,873,867,"410030011021"
"G41000300011022","2010","Oregon","41","Benton County","003","001102","2",1469.00,1469,1469,1455,"410030011022"
"G41000300011023","2010","Oregon","41","Benton County","003","001102","3",933.00,933,933,936,"410030011023"
"G41000300011024","2010","Oregon","41","Benton County","003","001102","4",1264.00,1264,1264,1261,"410030011024"
"G41000300101001","2010","Oregon","41","Benton County","003","010100","1",877.00,877,877,866,"410030101001"
"G41000300101002","2010","Oregon","41","Benton County","003","010100","2",1525.00,1525,1525,1906,"410030101002"
"G41000300101003","2010","Oregon","41","Benton County","003","010100","3",2046.00,2046,2046,2429,"410030101003"
"G41000300101004","2010","Oregon","41","Benton County","003","010100","4",1494.00,1494,1494,1625,"410030101004"
"G41000300101005","2010","Oregon","41","Benton County","003","010100","5",1042.00,1042,1042,1693,"410030101005"
"G41000300102001","2010","Oregon","41","Benton County","003","010200","1",1556.00,1552,1556,1938,"410030102001"
"G41000300102002","2010","Oregon","41","Benton County","003","010200","2",1101.77,1101,1132,1131,"410030102002"
"G41000300102003","2010","Oregon","41","Benton County","003","010200","3",1076.05,1076,1098,1021,"410030102003"
"G41000300103001","2010","Oregon","41","Benton County","003","010300","1",1403.00,1403,1403,1308,"410030103001"
"G41000300103002","2010","Oregon","41","Benton County","003","010300","2",948.00,948,948,980,"410030103002"
"G41000300103003","2010","Oregon","41","Benton County","003","010300","3",959.00,959,959,915,"410030103003"
"G41000300104001","2010","Oregon","41","Benton County","003","010400","1",694.22,694,730,623,"410030104001"
"G41000300104002","2010","Oregon","41","Benton County","003","010400","2",793.00,793,793,822,"410030104002"
"G41000300104003","2010","Oregon","41","Benton County","003","010400","3",2170.24,2046,2195,2363,"410030104003"
"G41000300106001","2010","Oregon","41","Benton County","003","010600","1",1172.00,1172,1172,1330,"410030106001"
"G41000300106002","2010","Oregon","41","Benton County","003","010600","2",955.00,955,955,1217,"410030106002"
"G41000300106003","2010","Oregon","41","Benton County","003","010600","3",1264.00,1264,1264,1260,"410030106003"
"G41000300106004","2010","Oregon","41","Benton County","003","010600","4",1632.00,1632,1632,1700,"410030106004"
"G41000300107021","2010","Oregon","41","Benton County","003","010702","1",1272.00,1272,1272,1280,"410030107021"
"G41000300107022","2010","Oregon","41","Benton County","003","010702","2",1172.00,1172,1172,1503,"410030107022"
"G41000300107023","2010","Oregon","41","Benton County","003","010702","3",701.00,701,701,862,"410030107023"
"G41000300108001","2010","Oregon","41","Benton County","003","010800","1",722.00,722,722,741,"410030108001"
"G41000300108002","2010","Oregon","41","Benton County","003","010800","2",1184.00,1184,1184,1032,"410030108002"
