neighborhood_id,tract_year,tract_id,percent_inside
124,1990,234.02,11.834
142,1990,234.02,58.627
127,1990,234.02,16.895
111,1990,234.02,12.385
146,1990,234.02,0.142
417,1990,202.0,0.034
37,1990,202.0,0.287
136,1990,202.0,1.47
96,1990,202.0,1.456
178,1990,202.0,2.719
187,1990,202.0,8.92
167,1990,202.0,7.47
155,1990,202.0,18.361
157,1990,202.0,6.162
25,1990,202.0,0.038
66,1990,202.0,17.205
176,1990,202.0,7.036
154,1990,202.0,18.807
64,1990,202.0,0.022
195,1990,202.0,0.032
12,1990,202.0,0.078
255,1990,202.0,0.039
37,1990,213.0,99.397
136,1990,213.0,0.602
176,1990,213.0,0.001
366,1990,203.02,0.125
70,1990,203.02,7.11
155,1990,203.02,0.051
25,1990,203.02,16.239
15,1990,203.02,76.384
14,1990,203.02,0.09
93,1990,221.01,10.783
55,1990,221.01,83.804
129,1990,221.01,5.413
366,1990,308.02,97.581
15,1990,308.02,0.125
97,1990,308.02,0
258,1990,308.02,2.287
304,1990,308.02,0
321,1990,308.02,0.007
93,1990,218.0,3.528
61,1990,218.0,10.219
55,1990,218.0,13.916
37,1990,218.0,72.337
139,1990,204.02,0.003
8,1990,204.02,4.132
62,1990,204.02,5.335
138,1990,204.02,9.987
96,1990,204.02,0
134,1990,204.02,42.424
9,1990,204.02,9.009
187,1990,204.02,0.003
167,1990,204.02,0.416
262,1990,204.02,17.978
285,1990,205.02,1.462
376,1990,205.02,5.426
377,1990,205.02,14.901
135,1990,205.02,0.003
61,1990,205.02,0.093
131,1990,205.02,23.385
37,1990,205.02,0.317
130,1990,205.02,6.282
136,1990,205.02,1.586
139,1990,205.02,6.457
179,1990,205.02,1.982
22,1990,205.02,5.655
183,1990,205.02,4.957
134,1990,205.02,1.2
9,1990,205.02,3.008
178,1990,205.02,0.131
167,1990,205.02,0.125
262,1990,205.02,17.978
287,1990,205.02,0.168
10,1990,409.03,12.117
238,1990,409.03,86.562
236,1990,409.03,0.575
211,1990,409.03,0.742
353,1990,71.0,0.899
40,1990,71.0,0.045
357,1990,71.0,0.016
428,1990,71.0,0.001
442,1990,71.0,0.132
211,1990,408.02,0.602
233,1990,408.02,0.006
182,1990,408.02,0.481
208,1990,408.02,44.472
243,1990,408.02,11.984
214,1990,408.02,3.289
206,1990,408.02,37.048
237,1990,408.02,2.118
114,1990,325.0,0.101
83,1990,325.0,0.036
31,1990,325.0,0.169
412,1990,325.0,99.693
326,1990,52.0,0.003
324,1990,52.0,15.83
291,1990,52.0,0.004
358,1990,52.0,0.014
430,1990,52.0,84.149
324,1990,53.0,99.996
345,1990,53.0,0
291,1990,53.0,0.004
324,1990,54.0,74.249
345,1990,54.0,25.751
315,1990,18.02,0
328,1990,18.02,11.416
320,1990,18.02,12.695
325,1990,18.02,75.888
329,1990,84.0,0
380,1990,84.0,0.002
437,1990,84.0,99.998
349,1990,60.01,0.012
434,1990,60.01,4.97
435,1990,60.01,57.053
332,1990,60.01,1.489
194,1990,60.01,36.47
379,1990,60.01,0.006
350,1990,10.0,36.001
434,1990,10.0,2.64
181,1990,10.0,0.001
347,1990,10.0,61.348
375,1990,10.0,0.008
438,1990,10.0,0.001
351,1990,8.01,57.987
325,1990,8.01,0.102
348,1990,8.01,0.23
436,1990,8.01,41.68
438,1990,8.01,0
319,1990,23.02,0.599
311,1990,23.02,69.488
277,1990,23.02,26.128
278,1990,23.02,3.784
319,1990,24.02,2.142
311,1990,24.02,28.892
34,1990,24.02,12.457
278,1990,24.02,39.17
312,1990,24.02,17.338
319,1990,25.02,2.795
278,1990,25.02,23.54
312,1990,25.02,48.84
82,1990,25.02,0.001
315,1990,25.02,0
318,1990,25.02,24.824
324,1990,51.0,0.02
345,1990,51.0,40.914
319,1990,51.0,0.588
