NAME,NUM_OF_STUDIO,AVG_PRICE_STUDIO,NUM_OF_1_BR,AVG_PRICE_1_BR,NUM_OF_2_BR,AVG_PRICE_2_BR,NUM_OF_3_BR,AVG_PRICE_3_BR,AVG_PRICE,RENTABILITY,LISTING_COUNT
Alameda,91.0,1243.42857143,102.0,1407.83333333,120.0,2026.275,23.0,3247.82608696,1845.33915212,0.835185729786,401
Arbor Lodge,15.0,932.866666667,50.0,1169.82,74.0,1758.55405405,5.0,2411.0,1656.7591623,0.220061782975,191
Ardenwald,1.0,795.0,,,,,,,795.0,-2.59088702254,1
Argay,4.0,1116.25,61.0,1063.93442623,59.0,1246.94915254,,,1188.2962963,-1.30800451586,135
Boise,200.0,1428.72,254.0,1538.23622047,213.0,2102.34741784,10.0,3003.0,1740.25905292,0.492427808274,718
Brentwood-Darlington,1.0,1495.0,17.0,1292.64705882,24.0,1381.875,4.0,2272.5,1663.35164835,0.241565634158,91
Bridgeton,14.0,1339.14285714,82.0,1275.24390244,143.0,1521.41258741,1.0,2750.0,1450.32520325,-0.45329954116,246
Bridlemile,,,19.0,1132.89473684,14.0,1214.28571429,3.0,2110.0,1525.54545455,-0.207940646502,55
Brooklyn,2.0,825.0,20.0,1192.85,41.0,1387.92682927,1.0,3000.0,1495.09210526,-0.307275599391,76
Buckman,36.0,1162.13888889,310.0,1599.71935484,242.0,2218.03305785,3.0,3495.0,1862.53507341,0.891276638388,613
Cathedral Park,6.0,1092.83333333,124.0,1351.20967742,90.0,1504.55555556,19.0,2083.42105263,1502.61111111,-0.282749558438,270
Centennial,23.0,798.043478261,44.0,855.795454545,137.0,1128.88321168,5.0,2038.0,1147.68181818,-1.44048377891,286
Center,3.0,1296.66666667,64.0,1143.734375,63.0,1626.93650794,15.0,3725.66666667,1887.28,0.971991442343,200
Concordia,5.0,1343.0,12.0,1066.25,49.0,1769.3877551,5.0,2739.0,1858.33333333,0.877571096556,102
Corbett-Terwilliger-Lair Hill,246.0,1347.80081301,746.0,1701.32975871,445.0,2334.42022472,12.0,2749.16666667,1872.78449409,0.924708945313,1522
Creston-Kenilworth,7.0,1224.28571429,32.0,1188.59375,58.0,1450.51724138,4.0,2183.75,1484.56,-0.34162998749,125
Cully,24.0,1116.45833333,33.0,1196.42424242,46.0,1499.93478261,12.0,3425.0,1609.20895522,0.0649590539992,134
Downtown,658.0,1315.27659574,1618.0,1527.78059333,745.0,2294.79597315,5.0,2806.8,1694.8240621,0.344224645736,3092
Eastmoreland,,,2.0,1090.0,7.0,2657.14285714,,,2346.25,2.46909321939,12
Eliot,101.0,1200.57425743,130.0,1558.64615385,60.0,2248.18333333,5.0,3049.0,1627.09708738,0.12330786642,309
Far Southwest,13.0,809.230769231,73.0,1053.90410959,128.0,1377.4140625,41.0,2682.07317073,1554.24922118,-0.11431260972,321
Forest Park,2.0,3222.5,43.0,1390.23255814,41.0,1777.48780488,10.0,3712.4,1944.42342342,1.15838602315,111
Foster Powell,2.0,900.0,15.0,1032.33333333,30.0,1264.06666667,5.0,2069.0,1402.12676056,-0.610516732261,71
Haden Island,,,6.0,1875.0,19.0,1946.31578947,,,1929.2,1.10872915177,25
Hayhurst,3.0,1696.66666667,12.0,976.25,62.0,1227.61290323,,,1304.33333333,-0.929506456403,87
Hazelwood,24.0,939.458333333,96.0,1137.1875,151.0,1322.48344371,11.0,1617.72727273,1293.95294118,-0.96336597564,340
Hillsdale,2.0,925.0,77.0,1072.98701299,44.0,1411.13636364,7.0,2645.57142857,1451.82911392,-0.448393975786,158
Historic Milwaukie,,,,,1.0,1050.0,,,1050.0,-1.75910944853,1
